非晶态装甲云	Amorphous Armorcloud
ArbiterMP Stasis Field (Apply)	ArbiterMP Stasis Field (Apply)
ArbiterMP Stasis Field (Search)	ArbiterMP Stasis Field (Search)
ArbiterMP Stasis Field (Set)	ArbiterMP Stasis Field (Set)
ArbiterMP Stasis Field Timer (Apply)	ArbiterMP Stasis Field Timer (Apply)
Arbiter MPWeapon Damage	Arbiter MPWeapon Damage
Arbiter MPWeapon Launch	Arbiter MPWeapon Launch
Build Caltrops Start Dummy Turret	Build Caltrops Start Dummy Turret
Build Caltrops Stop Dummy Turret	Build Caltrops Stop Dummy Turret
Caustic Level 1 Damage	Caustic Level 1 Damage
Caustic Level 2 Damage	Caustic Level 2 Damage
Caustic Spray Level 1 Launch Missile	Caustic Spray Level 1 Launch Missile
Caustic Spray Level 1 Persistent	Caustic Spray Level 1 Persistent
Caustic Spray Level 2 Launch Missile	Caustic Spray Level 2 Launch Missile
Caustic Spray Level 2 Persistent	Caustic Spray Level 2 Persistent
Cloaking Drone AB	Cloaking Drone AB
Cloaking Drone RB	Cloaking Drone RB
Cloaking Field Targeted AB	Cloaking Field Targeted AB
Cloaking Field Targeted CP	Cloaking Field Targeted CP
Cloaking Field Targeted Search	Cloaking Field Targeted Search
Collapsible Rock Tower (Ramp Left) (Green)	Collapsible Rock Tower (Ramp Left) (Green)
Collapsible Rock Tower (Ramp Right) (Green)	Collapsible Rock Tower (Ramp Right) (Green)
Collapsible Rock Tower (Ramp Left) (Green) (CP)	Collapsible Rock Tower (Ramp Left) (Green) (CP)
Collapsible Rock Tower (Ramp Left) (Green) (CPFinal)	Collapsible Rock Tower (Ramp Left) (Green) (CPFinal)
Collapsible Rock Tower (Ramp Left) (Green) (Create Debris)	Collapsible Rock Tower (Ramp Left) (Green) (Create Debris)
Collapsible Rock Tower (Ramp Right) (Green) (CP)	Collapsible Rock Tower (Ramp Right) (Green) (CP)
Collapsible Rock Tower (Ramp Right) (Green) (CPFinal)	Collapsible Rock Tower (Ramp Right) (Green) (CPFinal)
Collapsible Rock Tower (Ramp Right) (Green) (Create Debris)	Collapsible Rock Tower (Ramp Right) (Green) (Create Debris)
Collapsible Rock Tower Rubble CP (Ramp Left) (Green)	Collapsible Rock Tower Rubble CP (Ramp Left) (Green)
Collapsible Rock Tower Rubble CP (Ramp Right) (Green)	Collapsible Rock Tower Rubble CP (Ramp Right) (Green)
Collapsible Rock Tower Rubble Damage (Ramp Left) (Green)	Collapsible Rock Tower Rubble Damage (Ramp Left) (Green)
CollapsibleRockTowerRubbleDamageRampLeftSet (Unnamed) (Green)	CollapsibleRockTowerRubbleDamageRampLeftSet (Unnamed) (Green)
Collapsible Rock Tower Rubble Damage (Ramp Right) (Green)	Collapsible Rock Tower Rubble Damage (Ramp Right) (Green)
CollapsibleRockTowerRubbleDamageRampRightGreenSet	CollapsibleRockTowerRubbleDamageRampRightGreenSet
Collapsible Rock Tower Rubble Damage Search (Ramp Left) (Green)	Collapsible Rock Tower Rubble Damage Search (Ramp Left) (Green)
Collapsible Rock Tower Rubble Damage Search (Ramp Right) (Green)	Collapsible Rock Tower Rubble Damage Search (Ramp Right) (Green)
Collapsible Rock Tower Rubble Remove Caster (Ramp Left) (Green)	Collapsible Rock Tower Rubble Remove Caster (Ramp Left) (Green)
Collapsible Rock Tower Rubble Remove Caster (Ramp Right) (Green)	Collapsible Rock Tower Rubble Remove Caster (Ramp Right) (Green)
Corruption Bomb (Apply Damage)	Corruption Bomb (Apply Damage)
Corruption Bomb (Channel Damage)	Corruption Bomb (Channel Damage)
Corruption Bomb (Channel Search)	Corruption Bomb (Channel Search)
Corruption Bomb (Damage)	Corruption Bomb (Damage)
Corruption Bomb (Launch Missile)	Corruption Bomb (Launch Missile)
Corruption Bomb (Persistent)	Corruption Bomb (Persistent)
Corruption Bomb (Search)	Corruption Bomb (Search)
Disruption Web (Apply)	Disruption Web (Apply)
Disruption Web (Create Persistent)	Disruption Web (Create Persistent)
Disruption Web (Search)	Disruption Web (Search)
Fake Weapon Dummy Damage	Fake Weapon Dummy Damage
Cyclone Weapon Damage	Cyclone Weapon Damage
Cyclone Weapon Launch Missile Alternate AB	Cyclone Weapon Launch Missile Alternate AB
Cyclone Weapon Launch Missile Alternate RB	Cyclone Weapon Launch Missile Alternate RB
Cyclone Weapon Launch Missile Left	Cyclone Weapon Launch Missile Left
Cyclone Weapon Launch Missile Left Set	Cyclone Weapon Launch Missile Left Set
Cyclone Weapon Launch Missile Right	Cyclone Weapon Launch Missile Right
Cyclone Weapon Launch Missile Right Set	Cyclone Weapon Launch Missile Right Set
Cyclone Weapon Launch Missile Switch	Cyclone Weapon Launch Missile Switch
Dark Swarm Impact Dummy	Dark Swarm Impact Dummy
Consume Apply Behavior	Consume Apply Behavior
Consume Modify Unit	Consume Modify Unit
Consume Set	Consume Set
Dark Swarm Create Persistent	Dark Swarm Create Persistent
黑暗虫群搜索	Dark Swarm Search
Dark Swarp Apply Behavior	Dark Swarp Apply Behavior
Plague Apply Behavior	Plague Apply Behavior
Plague Damage	Plague Damage
Plague Search	Plague Search
Devourer MPWeapon Apply	Devourer MPWeapon Apply
Devourer MPWeapon Damage	Devourer MPWeapon Damage
Devourer MPWeapon Launch	Devourer MPWeapon Launch
Devourer MPWeapon Search	Devourer MPWeapon Search
Devourer MPWeapon Set	Devourer MPWeapon Set
Fungal Growth (Launch Missile)	Fungal Growth (Launch Missile)
Grapple Caster In Motion Apply Behavior	Grapple Caster In Motion Apply Behavior
Grapple Caster In Motion Remove Behavior	Grapple Caster In Motion Remove Behavior
Grapple Create Placeholder	Grapple Create Placeholder
Grapple Create Placeholder AB	Grapple Create Placeholder AB
Grapple Create Placeholder Colossus	Grapple Create Placeholder Colossus
Grapple Create Placeholder Remove	Grapple Create Placeholder Remove
Grapple Create Placeholder Set	Grapple Create Placeholder Set
Grapple Create Placeholder Switch	Grapple Create Placeholder Switch
Grapple Impact Dummy	Grapple Impact Dummy
Grapple Impact Set	Grapple Impact Set
Grapple LM	Grapple LM
Grapple Launch Caster	Grapple Launch Caster
Grapple Launch Caster Impact	Grapple Launch Caster Impact
Grapple Launch Caster Impact Set	Grapple Launch Caster Impact Set
Grapple Launch Caster Switch	Grapple Launch Caster Switch
Grapple Placeholder Issue Move	Grapple Placeholder Issue Move
Grapple Placeholder Issue Stop	Grapple Placeholder Issue Stop
Grapple Placeholder Mover	Grapple Placeholder Mover
Grapple Stun AB	Grapple Stun AB
Grapple Stun Search	Grapple Stun Search
Guardian MP Weapon Damage	Guardian MP Weapon Damage
Guardian MP Weapon LM	Guardian MP Weapon LM
HERC Weapon Damage	HERC Weapon Damage
Hallucination (Create Adept)	Hallucination (Create Adept)
Hallucination (Create Disruptor)	Hallucination (Create Disruptor)
Hydralisk Impale Damage	Hydralisk Impale Damage
Hydralisk Impale Impact Search	Hydralisk Impale Impact Search
Hydralisk Impale LM	Hydralisk Impale LM
Hydralisk Impale Missile Dummy Search	Hydralisk Impale Missile Dummy Search
Hyperjump Create Precursor	Hyperjump Create Precursor
Hyperjump Targeting Set	Hyperjump Targeting Set
Hyperjump Teleport	Hyperjump Teleport
Hyperjump Teleport AB	Hyperjump Teleport AB
Hyperjump Teleport In AB	Hyperjump Teleport In AB
Hyperjump Teleport Out AB	Hyperjump Teleport Out AB
Hyperjump Teleport Set	Hyperjump Teleport Set
Immortal Overload AB	Immortal Overload AB
KD8 Charge	KD8 Charge
KD8 Charge End Set	KD8 Charge End Set
KD8 Charge Explode Damage	KD8 Charge Explode Damage
KD8 Charge Initial Set	KD8 Charge Initial Set
KD8 Charge LM	KD8 Charge LM
KD8 Charge Launch	KD8 Charge Launch
KD8 Precursor Unit Knockback AB	KD8 Precursor Unit Knockback AB
KD8 Search Area	KD8 Search Area
Lance Missile Launchers	Lance Missile Launchers
Lance Missile Launchers (Damage)	Lance Missile Launchers (Damage)
Lance Missile Launchers (Launch Missile)	Lance Missile Launchers (Launch Missile)
Dreadnought AG Damage	Liberator AG Damage
Dreadnought AG Damage Set	Liberator AG Damage Set
Dreadnought AG Missile LM	Liberator AG Missile LM
Liberator AG Missile LM Set	Liberator AG Missile LM Set
Liberator Damage Missile LM	Liberator Damage Missile LM
Liberator Interrupted Morph Delay Persistent	Liberator Interrupted Morph Delay Persistent
Dreadnought Missile Burst Persistent	Liberator Missile Burst Persistent
Dreadnought Missile Damage	Liberator Missile Damage
Dreadnought Missile Dummy	Liberator Missile Dummy
Dreadnought Missile LM	Liberator Missile LM
Dreadnought Missile Launchers Persistent	Liberator Missile Launchers Persistent
Dreadnought Target AA Morph Order	Liberator Target AA Morph Order
Dreadnought Target AA Morph Order Set	Liberator Target AA Morph Order Set
Dreadnought Target AA Morph RB	Liberator Target AA Morph RB
Dreadnought Target Morph AB	Liberator Target Morph AB
Dreadnought Target Morph AG Order	Liberator Target Morph AG Order
Dreadnought Target Morph Delay Persistent	Liberator Target Morph Delay Persistent
Dreadnought Target Morph Order Initial Set	Liberator Target Morph Order Initial Set
Dreadnought Target Morph Persistent	Liberator Target Morph Persistent
Liberator Target Morph Search AB	Liberator Target Morph Search AB
Dreadnought Target Morph Search Area	Liberator Target Morph Search Area
Liberator Turret Face	Liberator Turret Face
Lightning Bomb AB	Lightning Bomb AB
Lightning Bomb Damage	Lightning Bomb Damage
Lightning Bomb LM	Lightning Bomb LM
Light of Aiur	Light of Aiur
Lock On AB	Lock On AB
Lock On Air	Lock On Air
Lock On CP	Lock On CP
Lock On Clear Set	Lock On Clear Set
Lock On Disable Attack AB	Lock On Disable Attack AB
Lock On Disable Attack RB	Lock On Disable Attack RB
Lock On End Disable Attack	Lock On End Disable Attack
Lock On Fire Set	Lock On Fire Set
Lock On Initial AB	Lock On Initial AB
Lock On Initial Set	Lock On Initial Set
Lock On RB	Lock On RB
Lock On Reset Cooldown	Lock On Reset Cooldown
Lock On Reset Cooldown Initial	Lock On Reset Cooldown Initial
Lock On Turret Clear	Lock On Turret Clear
Lock On Turret Start	Lock On Turret Start
Locust MP Flying Precursor AB	Locust MP Flying Precursor AB
Locust MP Flying Swoop Create Precursor	Locust MP Flying Swoop Create Precursor
Locust MP Flying Swoop Issue Morph	Locust MP Flying Swoop Issue Morph
Locust MP Flying Swoop LM	Locust MP Flying Swoop LM
Locust MP Flying Swoop Precursor Set	Locust MP Flying Swoop Precursor Set
Locust MP Issue Morph	Locust MP Issue Morph
Lurker Hold Fire B	Lurker Hold Fire B
Lurker Hold Fire Set	Lurker Hold Fire Set
Lurker Remove Hold Fire	Lurker Remove Hold Fire
Moopy Stick Damage	Moopy Stick Damage
Mothership Core - Apply Purify (AB)	Mothership Core - Apply Purify (AB)
Mothership Core Mass Recall (Death Remove)	Mothership Core Mass Recall (Death Remove)
Mothership Core Mass Recall (Death Search)	Mothership Core Mass Recall (Death Search)
Mothership Core - Purify Nexus (Issue Order)	Mothership Core - Purify Nexus (Issue Order)
Mothership Mass Recall Apply Behavior	Mothership Mass Recall Apply Behavior
Mothership Mass Recall (Death Remove)	Mothership Mass Recall (Death Remove)
Mothership Mass Recall (Death Search)	Mothership Mass Recall (Death Search)
Mothership Mass Recall Post Behavior	Mothership Mass Recall Post Behavior
Mothership - Mass Recall (Prepare)	Mothership - Mass Recall (Prepare)
Mothership Mass Recall Search	Mothership Mass Recall Search
Mothership Mass Recall Set	Mothership Mass Recall Set
Mothership Mass Recall Teleport	Mothership Mass Recall Teleport
Neural Parasite Expire Set	Neural Parasite Expire Set
Neural Parasite Lock On Remove	Neural Parasite Lock On Remove
中子照明弹	Neutron Flare
Nexus Chrono Boost Issue Order	Nexus Chrono Boost Issue Order
坑道虫侦测	Nydus Detect
Oracle Phase Shift AB	Oracle Phase Shift AB
OracleRevelationDummyDamage	OracleRevelationDummyDamage
Oracle Shot Damage	Oracle Shot Damage
Oracle Shot Launch Missile	Oracle Shot Launch Missile
Oracle Stasis Ward Activate Search	Oracle Stasis Ward Activate Search
Oracle Stasis Ward Activate AB	Oracle Stasis Ward Activate AB
Oracle Stasis Ward Activate Set	Oracle Stasis Ward Activate Set
Oracle Stasis Ward Build Beam Off	Oracle Stasis Ward Build Beam Off
Oracle Stasis Ward Build Beam On	Oracle Stasis Ward Build Beam On
Oracle Stasis Ward CU	Oracle Stasis Ward CU
Oracle Stasis Ward Reveal	Oracle Stasis Ward Reveal
Oracle Weapon Create Persistent	Oracle Weapon Create Persistent
Oracle Weapon Damage	Oracle Weapon Damage
Overcharge (Apply)	Overcharge (Apply)
Overcharge (Apply Damage)	Overcharge (Apply Damage)
Overcharge (Apply Push)	Overcharge (Apply Push)
Overcharge (Apply Speed)	Overcharge (Apply Speed)
Overcharge (Damage)	Overcharge (Damage)
Overcharge (Force)	Overcharge (Force)
Overcharge (Push Search)	Overcharge (Push Search)
Overcharge (Search)	Overcharge (Search)
Overcharge (Search Set)	Overcharge (Search Set)
Overcharge (Set)	Overcharge (Set)
Penetrating Shot Apply Behavior	Penetrating Shot Apply Behavior
Penetrating Shot Create Persistent	Penetrating Shot Create Persistent
Penetrating Shot Damage	Penetrating Shot Damage
Penetrating Shot Damage Set	Penetrating Shot Damage Set
Penetrating Shot Search	Penetrating Shot Search
Phase Destroy Graviton Beam Persistant	Phase Destroy Graviton Beam Persistant
Phase Fungal Growth Remove	Phase Fungal Growth Remove
Phase Fungal Movement Remove	Phase Fungal Movement Remove
Phase Mothership Recalled Remove	Phase Mothership Recalled Remove
Phase Mothership Recalling Remove	Phase Mothership Recalling Remove
Phase Neural Parasite Remove	Phase Neural Parasite Remove
Purification Nova Cooldown Visual AB	Purification Nova Cooldown Visual AB
Purification Nova Search Set	Purification Nova Search Set
Purification Nova Targetted	Purification Nova Targetted
Pylon Special Power	Pylon Special Power
Pylon Special Power AB	Pylon Special Power AB
Pylon Special Power Persistent	Pylon Special Power Persistent
Queen MPEnsnare Apply	Queen MPEnsnare Apply
Queen MPEnsnare Damage Dummy	Queen MPEnsnare Damage Dummy
Queen MPEnsnare Launch Missile	Queen MPEnsnare Launch Missile
Queen MPEnsnare Search	Queen MPEnsnare Search
Queen MPEnsnare Set	Queen MPEnsnare Set
Queen MPSpawn Broodlings Create	Queen MPSpawn Broodlings Create
Queen MPSpawn Broodlings Damage	Queen MPSpawn Broodlings Damage
Queen MPSpawn Broodlings Launch	Queen MPSpawn Broodlings Launch
Queen MPSpawn Broodlings Set	Queen MPSpawn Broodlings Set
Ravager Corrosive Bile CP	Ravager Corrosive Bile CP
Ravager Corrosive Bile Cursor Dummy	Ravager Corrosive Bile Cursor Dummy
Ravager Corrosive Bile Damage	Ravager Corrosive Bile Damage
Ravager Corrosive Bile Force Field Kill	Ravager Corrosive Bile Force Field Kill
Ravager Corrosive Bile Launch Down	Ravager Corrosive Bile Launch Down
Ravager Corrosive Bile Launch Set	Ravager Corrosive Bile Launch Set
Ravager Corrosive Bile Launch Up	Ravager Corrosive Bile Launch Up
Ravager Corrosive Bile Search	Ravager Corrosive Bile Search
Ravager Corrosive Bile Set	Ravager Corrosive Bile Set
Ravager Corrosive Bile Warning Dummy Damage	Ravager Corrosive Bile Warning Dummy Damage
Ravager Corrosive Bile Warning Dummy Search	Ravager Corrosive Bile Warning Dummy Search
Ravager Weapon Damage	Ravager Weapon Damage
