非晶态装甲云	Armure de brume
Stukov Infested Siege Tank Deep Tunnel Teleport Set	Stukov Infested Siege Tank Deep Tunnel Teleport Set
SuicideIfSupplicantWarpIn	SuicideIfSupplicantWarpIn
Summon Devil Dogs Create Unit	Summon Devil Dogs Create Unit
Summon Hammer Securities Create Unit	Summon Hammer Securities Create Unit
Hyperion Create Unit	Hyperion Create Unit
Summon Merc Medics Create Unit	Summon Merc Medics Create Unit
Summon Siege Breakers Create Unit	Summon Siege Breakers Create Unit
Summon Skibis Angels Create Unit	Summon Skibis Angels Create Unit
Summon Spartan Company Create Unit	Summon Spartan Company Create Unit
Summon War Pigs Create Unit	Summon War Pigs Create Unit
Suplicant Warp Cancel	Suplicant Warp Cancel
Supplicant Birth	Supplicant Birth
伤害	Damage
SupplicantWarpPowerCheck	SupplicantWarpPowerCheck
SupressFood1FrameAB	SupressFood1FrameAB
Swann Commander Mech Rebirth Heal	Swann Commander Mech Rebirth Heal
Swann Commander Mech Rebirth Switch	Swann Commander Mech Rebirth Switch
Swann Commander Mech Wreckage Burning AB	Swann Commander Mech Wreckage Burning AB
Swann Commander Mech Wreckage Burning Damage	Swann Commander Mech Wreckage Burning Damage
Swann Commander Mech Wreckage Burning RB	Swann Commander Mech Wreckage Burning RB
Symb Attach Teleport	Symb Attach Teleport
Symb Marker	Symb Marker
Symb Prevent Jump	Symb Prevent Jump
Symbiote Auto Stab	Symbiote Auto Stab
TargetIsBeingDraggedByDehaka	TargetIsBeingDraggedByDehaka
Tentacle Attack (Apply Choked Disable Abils Behavior)	Tentacle Attack (Apply Choked Disable Abils Behavior)
Tentacle Attack (Apply Choked Initial Effects Set)	Tentacle Attack (Apply Choked Initial Effects Set)
TheHornersStatUpdate	TheHornersStatUpdate
Thor Wreckage Set	Thor Wreckage Set
Thor Wreckage Swann Abil	Thor Wreckage Swann Abil
Merc Timed Life Fate	Merc Timed Life Fate
TimedLifeFateNoShield	TimedLifeFateNoShield
Transfusion AC Search	Transfusion AC Search
Transfusion AC Switch	Transfusion AC Switch
Calldown Odin Apply Initial Falling Stun	Calldown Odin Apply Initial Falling Stun
Calldown Odin Apply Initial Self Stun	Calldown Odin Apply Initial Self Stun
Calldown Odin Apply Inside Odin Stun	Calldown Odin Apply Inside Odin Stun
Calldown Odin Apply Timed Life	Calldown Odin Apply Timed Life
Calldown Odin Create Unit	Calldown Odin Create Unit
Calldown Odin Initial Persistent	Calldown Odin Initial Persistent
Calldown Odin Remove Inside Odin Stun	Calldown Odin Remove Inside Odin Stun
Calldown Odin Teleport Caster	Calldown Odin Teleport Caster
TychusCalldownOdinTransferGroup	TychusCalldownOdinTransferGroup
Chaingun Set	Chaingun Set
Tychus Coop Chaingun Damage	Tychus Coop Chaingun Damage
Tychus Coop Chaingun Damage (Friendly No Rage)	Tychus Coop Chaingun Damage (Friendly No Rage)
TychusFirebatOilBombCP	TychusFirebatOilBombCP
TychusGhostDominateCP	TychusGhostDominateCP
TychusHercGrappleRageBuffAB	TychusHercGrappleRageBuffAB
TychusHercGrappleStun	TychusHercGrappleStun
Tychus Hero Passive	Tychus Hero Passive
Barrage (Persistent)	Barrage (Persistent)
Barrage (Damage)	Barrage (Damage)
Barrage (Search Area)	Barrage (Search Area)
Create Point Defense Drone	Create Point Defense Drone
TychusOdinFinalSet	TychusOdinFinalSet
Tychus Odin Timed Life Fate Dummy	Tychus Odin Timed Life Fate Dummy
TychusReaperSuperCloakAB	TychusReaperSuperCloakAB
TychusResearchCenterDisableCommandsAB	TychusResearchCenterDisableCommandsAB
TychusResearchCenterTychusBuilt	TychusResearchCenterTychusBuilt
TychusSCVAutoTurret	TychusSCVAutoTurret
Shredder Grenade Damage	Shredder Grenade Damage
TychusShredderGrenadeKnockbackSwitch	TychusShredderGrenadeKnockbackSwitch
Shredder Grenade (Launch Missile)	Shredder Grenade (Launch Missile)
Tychus Shredder Grenade Rage Gain	Tychus Shredder Grenade Rage Gain
Tychus AGR-14 Gauss Rifle	Tychus AGR-14 Gauss Rifle
TychusSpectreBrillianceAuraBuffABLv1	TychusSpectreBrillianceAuraBuffABLv1
TychusSpectreBrillianceAuraSearchLv1	TychusSpectreBrillianceAuraSearchLv1
TychusSpectreExtendedPulseGun	TychusSpectreExtendedPulseGun
TychusSpectreSuperUltrasonicPulse	TychusSpectreSuperUltrasonicPulse
TychusSpectreUltrasonicDamageLv1	TychusSpectreUltrasonicDamageLv1
TychusSpectreUltrasonicCPLv1	TychusSpectreUltrasonicCPLv1
TychusSpectreUltrasonicSearchLv1	TychusSpectreUltrasonicSearchLv1
TychusSpectreWeaponCost	TychusSpectreWeaponCost
TychusSpectreWeaponSet	TychusSpectreWeaponSet
TychusWarhoundAutoTurretTimedLife	TychusWarhoundAutoTurretTimedLife
TychusWarhoundTornadoMissileCP	TychusWarhoundTornadoMissileCP
TychusWarhoundTornadoMissileCPSearch	TychusWarhoundTornadoMissileCPSearch
TychusWarhoundTurretTornadoMissileCP	TychusWarhoundTurretTornadoMissileCP
TychusWarhoundTurretWeaponSet	TychusWarhoundTurretWeaponSet
UnityBarrierCooldown	UnityBarrierCooldown
UnityBarrierFinalSet	UnityBarrierFinalSet
Vehicle Afterburners AB	Vehicle Afterburners AB
Viking Merc Veterancy Aura AB	Viking Merc Veterancy Aura AB
VoidSeekerTransportUnloadDummy	VoidSeekerTransportUnloadDummy
Void Shard	Void Shard
Void Shard ACBuild Visual Start Dummy	Void Shard ACBuild Visual Start Dummy
Void Shard ACDamage	Void Shard ACDamage
Void Shard ACDamage Field Damage	Void Shard ACDamage Field Damage
Void Shard ACDamage Field Damage Initial	Void Shard ACDamage Field Damage Initial
Void Shard ACDamage Field Search	Void Shard ACDamage Field Search
Void Shard ACDeath Grip Apply Stun	Void Shard ACDeath Grip Apply Stun
Void Shard ACDeath Grip Height	Void Shard ACDeath Grip Height
Void Shard ACDeath Grip Initial Set	Void Shard ACDeath Grip Initial Set
Void Shard ACDeath Grip Kill	Void Shard ACDeath Grip Kill
Void Shard ACRepulser Field Search Area	Void Shard ACRepulser Field Search Area
Void Shard ACRepulser Field Set	Void Shard ACRepulser Field Set
Void Shard ACShockwave Create Persistent	Void Shard ACShockwave Create Persistent
Void Shard ACShockwave Damage	Void Shard ACShockwave Damage
Void Shard ACShockwave Search	Void Shard ACShockwave Search
Void Shard ACUnstable Energy Create Unit	Void Shard ACUnstable Energy Create Unit
Void Shard ACUnstable Energy Damage Do	Void Shard ACUnstable Energy Damage Do
Void Shard ACUnstable Energy Initial Damage	Void Shard ACUnstable Energy Initial Damage
Void Shard ACUnstable Energy Search	Void Shard ACUnstable Energy Search
Void Shard ACUnstable Energy Search Do	Void Shard ACUnstable Energy Search Do
Void Shard ACUnstable Energy Set	Void Shard ACUnstable Energy Set
Void Shard ACUnstable Energy Spawn Effect	Void Shard ACUnstable Energy Spawn Effect
Void Shard ACVoid Zone Impact ABSet	Void Shard ACVoid Zone Impact ABSet
Void Shard ACVoid Zone Impact Root Damage	Void Shard ACVoid Zone Impact Root Damage
Void Shard ACVoid Zone Impact Root Stun	Void Shard ACVoid Zone Impact Root Stun
Void Shard ACVoid Zone Root Damage	Void Shard ACVoid Zone Root Damage
Void Shard ACVoid Zone Search	Void Shard ACVoid Zone Search
Void Sliver AC Unstable Energy	Void Sliver AC Unstable Energy
Void Sliver AC Unstable Energy CU	Void Sliver AC Unstable Energy CU
Void Sliver AC Unstable Energy Initial Damage	Void Sliver AC Unstable Energy Initial Damage
Void Sliver AC Unstable Energy Search	Void Sliver AC Unstable Energy Search
Void Sliver AC Unstable Energy Set	Void Sliver AC Unstable Energy Set
Void Sliver AC Unstable Energy Spawn Effect	Void Sliver AC Unstable Energy Spawn Effect
Void Stalker Blink Apply Shield Restore	Void Stalker Blink Apply Shield Restore
Ground Missile Damage	Ground Missile Damage
Ground Missile Launch	Ground Missile Launch
Ground Missile Volley Create Persistent Delay	Ground Missile Volley Create Persistent Delay
Ground Missile Volley Persistent	Ground Missile Volley Persistent
Vorazun Cloak Damage Boost AB	Vorazun Cloak Damage Boost AB
VorazunGatewayHangarLink	VorazunGatewayHangarLink
VorazunMothershipMiningBeamAB	VorazunMothershipMiningBeamAB
VorazunMothershipMiningBeamCP	VorazunMothershipMiningBeamCP
VorazunMothershipMiningBeamCountAB	VorazunMothershipMiningBeamCountAB
VorazunMothershipMiningBeamInitialSetAB	VorazunMothershipMiningBeamInitialSetAB
VorazunMothershipMiningBeamMaxCountAB	VorazunMothershipMiningBeamMaxCountAB
VorazunMothershipMiningBeamMaxCountRB	VorazunMothershipMiningBeamMaxCountRB
VorazunMothershipMiningBeamMinerals5	VorazunMothershipMiningBeamMinerals5
VorazunMothershipMiningBeamMineralsSet	VorazunMothershipMiningBeamMineralsSet
VorazunMothershipMiningBeamSearch	VorazunMothershipMiningBeamSearch
VorazunMothershipVespeneBeamAB	VorazunMothershipVespeneBeamAB
VorazunMothershipVespeneBeamCP	VorazunMothershipVespeneBeamCP
VorazunMothershipVespeneBeamCountAB	VorazunMothershipVespeneBeamCountAB
VorazunMothershipVespeneBeamInitialSetAB	VorazunMothershipVespeneBeamInitialSetAB
VorazunMothershipVespeneBeamMaxCountAB	VorazunMothershipVespeneBeamMaxCountAB
VorazunMothershipVespeneBeamMaxCountRB	VorazunMothershipVespeneBeamMaxCountRB
VorazunMothershipVespeneBeamSearch	VorazunMothershipVespeneBeamSearch
VorazunMothershipVespeneBeamVespene5	VorazunMothershipVespeneBeamVespene5
VorazunMothershipVespeneBeamVespeneSet	VorazunMothershipVespeneBeamVespeneSet
VorazunRoboticsFacilityHangarLink	VorazunRoboticsFacilityHangarLink
VorazunStargateHangarLink	VorazunStargateHangarLink
Vulture Merc Veterancy Aura AB	Vulture Merc Veterancy Aura AB
Warbot A Initial Set	Warbot A Initial Set
Warbot A Issue Order	Warbot A Issue Order
Warbot A Remove	Warbot A Remove
Warbot B Initial Set	Warbot B Initial Set
Warbot B Remove	Warbot B Remove
Warbot C Initial Set	Warbot C Initial Set
Warbot C Remove	Warbot C Remove
Warbot Spawn Set	Warbot Spawn Set
WarbotWeaponDisableAB	WarbotWeaponDisableAB
Wild Mutation Search	Wild Mutation Search
Wild Mutation Set	Wild Mutation Set
Zagara Void Coop Aberration Baneling Incubation Birth Height Birth AB	Zagara Void Coop Aberration Baneling Incubation Birth Height Birth AB
Zagara Void Coop Aberration Baneling Incubation Birth Height Birth Set	Zagara Void Coop Aberration Baneling Incubation Birth Height Birth Set
Zagara Void Coop Aberration Baneling Incubation CU	Zagara Void Coop Aberration Baneling Incubation CU
Zagara Void Coop Aberration Baneling Incubation Set	Zagara Void Coop Aberration Baneling Incubation Set
Zagara Void Coop Aberration Baneling Incubation Switch	Zagara Void Coop Aberration Baneling Incubation Switch
Zagara Void Coop Aberration Splitterling Incubation CU	Zagara Void Coop Aberration Splitterling Incubation CU
Zagara Baneling Barrage Force Field Explode Search Set	Zagara Baneling Barrage Force Field Explode Search Set
Zagara Baneling Barrage Force Field Scan	Zagara Baneling Barrage Force Field Scan
Zagara Baneling Barrage Force Field Scan Persistent	Zagara Baneling Barrage Force Field Scan Persistent
Zagara Baneling Barrage Force Field Scan Persistent Destroy	Zagara Baneling Barrage Force Field Scan Persistent Destroy
Zagara Baneling Barrage Unpathable Scan Persistent Destroy	Zagara Baneling Barrage Unpathable Scan Persistent Destroy
ZagaraVoidCoopEnvenomedSpines	ZagaraVoidCoopEnvenomedSpines
Zagara Void Coop Mass Frenzy AB	Zagara Void Coop Mass Frenzy AB
Zagara Void Coop Mass Frenzy Iterate Transport	Zagara Void Coop Mass Frenzy Iterate Transport
Zagara Void Coop Mass Frenzy Search	Zagara Void Coop Mass Frenzy Search
Zagara Void Coop Mass Frenzy Set	Zagara Void Coop Mass Frenzy Set
Zagara Void Coop Mass Roachling Drop Search	Zagara Void Coop Mass Roachling Drop Search
ZeratulArtifactRevealBeam	ZeratulArtifactRevealBeam
ZeratulEntropicBlastCyanImpactCUSpawner	ZeratulEntropicBlastCyanImpactCUSpawner
ZeratulEntropicBlastCyanImpactSpawnMU	ZeratulEntropicBlastCyanImpactSpawnMU
ZeratulEntropicBlastCyanImpactSpawnSet	ZeratulEntropicBlastCyanImpactSpawnSet
Photon Cannon (Launch Missile)	Photon Cannon (Launch Missile)
Photon Cannon (Damage)	Photon Cannon (Damage)
ZeratulReflectionShieldApplyBehaviorMarker	ZeratulReflectionShieldApplyBehaviorMarker
ZeratulReviveWarpIn	ZeratulReviveWarpIn
ZeratulTransportVoidSeekerIssueOrderMove	ZeratulTransportVoidSeekerIssueOrderMove
ZeratulTransportVoidSeekerSetFacing	ZeratulTransportVoidSeekerSetFacing
ZeratulXelNagaConstructDevolveHeroicAB	ZeratulXelNagaConstructDevolveHeroicAB
ZeratulXelNagaConstructDevolveTargetImpact	ZeratulXelNagaConstructDevolveTargetImpact
Zergling Respawn Train Order Raptor	Zergling Respawn Train Order Raptor
Zergling Respawn Train Order Switch	Zergling Respawn Train Order Switch
目标已经被控制了。	La cible est déjà sous contrôle.
不能对目标单位使用高级建造	Impossible d’utiliser Construction avancée sur l’unité ciblée.
目标已经有该效果。	Cette unité est déjà affectée.
不能选取首领作为目标	Impossible de cibler les boss
施法者能量已满。	L’énergie du lanceur est pleine.
生物质已经到达上限	Dispose déjà du maximum de biomasse
无法在船舱为空时那么做	Impossible de faire ça, l’unité est vide
必须以未潜地的被感染者为目标	Doit cibler des unités contaminées non enfouies
必须以死徒为目标	Doit cibler un disciple
必须以被感染的平民或被感染的陆战队员为目标。	Doit cibler un civil contaminé ou un marine contaminé.
已达到可用矿骡的最大数。	Nombre maximum de MULE actifs atteint.
必须以生物单位或建筑为目标	Doit cibler une unité biologique ou un bâtiment
范围内无死徒	Aucun disciple à portée
目标已经被感染。	La cible est déjà contaminée.
目标锁定无法锁定更多目标	Vous ne pouvez pas verrouiller plus de cibles
无法修理这个单位	Impossible de réparer cette unité.
无法以此为目标，已有瓦斯采集器	Impossible de cibler. Un collecteur est déjà présent.
凯瑞甘	Kerrigan
Kinetic SILiberator Follow Target	Kinetic SILiberator Follow Target
Kinetic SILiberator Swarm Form Permanent Follow Target	Kinetic SILiberator Swarm Form Permanent Follow Target
克哈各地出现了连接虚空的裂隙，大量的混合体从中涌出。我们必须赶在被敌人淹没前摧毁这些裂隙！	Des failles vers le Vide apparaissent autour de Korhal, libérant de monstrueux hybrides. Détruisez les failles avant d’être submergés !
你的敌人正通过列车来运送重要物品。赶快阻截这些列车，否则一切都太晚了。这些列车可能会采用不同的轨道；与你的盟友协作以封锁所有可能的路线。	Votre ennemi transporte des objets essentiels dans des trains. Votre seule chance est d’intercepter ces trains avant qu’il ne soit trop tard. Les trains peuvent emprunter plusieurs voies ; vous allez devoir travailler avec votre allié pour couvrir le plus grand nombre de routes possible.
ACMap	CACarte
黑暗杀星	Faux d’Amon
机会渺茫	Robots dans la brume
虚空撕裂	Lacération du Vide
死亡摇篮	Berceau de mort
净网行动	Guerre cybernétique
营救矿工	Évacuation minière
虚空降临	Navettes pour le Vide
克哈裂痕	La route de Korhal
天穹坠落	Le ciel nous tombe sur la tête
聚铁成兵	Archange mécanique
往日神庙	Temple du passé
升格之链	Chaîne de l’Ascension
湮灭快车	Express pour l’Oubli
天界封锁	Cible verrouillée
熔火危机	Le problème Vermillion
COOP_Placeholder	COOP_Temporaire
COOP_Valerian03	COOP_Valerian03
COOP_ZChar02	COOP_ZChar02
<d ref="$BehaviorStackCount:MutatorCandy$"/>	<d ref="$BehaviorStackCount:MutatorCandy$"/>
护送撤离飞船前往目的地。	Escortez la navette d’évacuation jusqu’à destination.
虚空裂片正在抽取神庙能量，强化混合体。必须将它们摧毁。	Les éclats du Vide drainent l’énergie du temple et renforcent l’hybride. Vous devez les détruire.
决不能让虚空之影混合体苏醒。在计时结束之前摧毁虚空裂片。	L’hybride du Vide ne doit pas s’éveiller. Brisez les éclats du Vide avant la fin du temps imparti.
摧毁萃取设施解救拜舍尔鲸鸟。	Détruisez l’extracteur pour libérer l’ondoyeur captif.
采集机器人在采集地嗪以及返回斯台特曼的工厂时必须受到保护。	Vous devez protéger les robots de collecte pendant qu’ils extraient la terrazine, puis jusqu’à leur retour à l’installation de Stetmann.
斯台特曼的手上只有少量采集机器人。如果被摧毁的机器人太多，他将无法再采集更多的地嗪。	Stetmann ne possède que quelques robots de collecte. Si un trop grand nombre de robots est détruit, il ne pourra plus collecter de terrazine.
大天使可以变形为空中单位，还能自我修复。只有集中攻击才能在其逃脱前将其摧毁。	L’Archange peut se reconfigurer en unité aérienne et se réparer lui-même. Seule une attaque groupée peut le détruire avant qu’il s’échappe.
虚空撕裂者正在从虚空中涌出。你必须将它们全部消灭，不能让它们摧毁重锤军士的要塞。	Des lacérateurs se sont échappés du Vide. Tuez-les tous avant qu’ils ne détruisent la forteresse du sergent Marteau.
重锤军士的要塞遭到了虚空撕裂者的围攻。赶快消灭虚空撕裂者，趁一切还来得及。	La forteresse du sergent Marteau est assiégée par des lacérateurs du Vide. Tuez-les avant qu’ils ne soit trop tard.
一处莫比斯科研哨站正在传输武器数据。打败他们的构造体，将神器卡车带往哨站将其摧毁。	Un centre de recherche du contingent Möbius transfère des données d’armement. Venez à bout de l’assemblage qui le défend et conduisez le véhicule de neutralisation à proximité pour le détruire.
协助斯通摧毁天基武器站的所有功能区，阻止其启动。	Aidez Stone à détruire les différents secteurs de la station de combat avant son activation.
清理掉挡住了神器卡车部署点的构造体。双方玩家必须护送他们的卡车前往目标位置。	Éliminez les assemblages qui bloquent l’accès à la zone de déploiement. Chacun des joueurs doit escorter son véhicule de neutralisation jusqu’à la zone indiquée.
从未损坏的数据核心下载净化者智能来拯救他们。	Téléchargez les personnalités que renferment les centres de stockage non corrompus afin de les sauver.
在奥罗娜净化安全终端期间保卫她的载具。	Protégez le transport d’Aurana pendant qu’elle restaure les terminaux de sécurité.
奥罗娜目前正在驾驶净化者载具。别让它被摧毁。	Aurana pilote actuellement le transport des Purificateurs. Empêchez sa destruction.
尤摩扬的采矿科技非常先进。拿到这种技术，以便雷格尔可以将其运用在未来的战斗中。	La technologie umojane d’extraction est hautement sophistiquée. Emparez-vous-en pour permettre à Reigel de l’adapter en situation de combat.
摧毁阻挡矿井入口的感染体。	Anéantir la contamination qui bloque l’entrée de la mine.
