Amorphous Armorcloud	Аморфное бронеоблако
Gold Income Rate: %Rate_Resource2%%<n/>Upkeep is determined by the amount of food your forces are currently using.	Скорость добычи золота: %Rate_Resource2%%<n/>Уровень расходов зависит от объема потребляемых войсками припасов.
%min%-%max% Food: %upkeep%	%min%-%max% ед. припасов: %upkeep%
%min%-%max% Food: %upkeep% (%Rate_Resource2%% income)	%min%-%max% ед. припасов: %upkeep% (%Rate_Resource2%% дохода)
Not Enough Resources	Недостаточно ресурсов
<h/>Resources	Рес<h/>урсы
Restore Defaults	Сброс конфигурации
Restore Race Defaults	Сброс настроек для расы
Not available while initializing game mode.	Это действие недоступно, пока идет инициализация режима игры.
Not available while downloading	Это действие недоступно во время загрузки карты.
Not available while there is a pending game invite	Это действие недоступно, пока один из игроков не ответил на приглашение в игру.
Not available for Beta	Недоступно в бета-версии
Not available while in a lobby	Это действие недоступно, пока вы ожидаете начала матча.
Not available while joining a game	Это действие недоступно, пока вы подключаетесь к игре.
Not available while party members are still in game	Это действие недоступно, пока участники группы все еще в игре.
Not available while there is a pending party invite	Это действие недоступно, пока один из игроков не ответил на приглашение в группу.
Only available to party leader.	Это действие доступно только лидеру группы.
Not available while party members are offline	Это действие недоступно, пока участники группы находятся вне сети.
Not available while the game needs to patch	Данная функция недоступна без установленного обновления
Not available while streaming data	Элемент неактивен во время передачи данных.
Not available while you have a game in progress	Данная опция недоступна, пока игра не завершена.
Not available while searching for a game	Элемент неактивен во время поиска игры.
Not available while uploading a replay file	Это действие недоступно при загрузке файла повтора.
Recovering	Восстановление
You will be revealed in: %countdown%	База будет раскрыта через %countdown% сек.
Build a Town Hall or you will be revealed to your enemies when this timer expires!	Постройте главное здание базы, иначе расположение ваших строений будет раскрыто по окончании работы таймера.
