Amorphous Armorcloud	Nube de blindaje amorfa
4.7 Dummy Unit Fix	Corrección de unidad de prueba de 4.7
Ranged attack strider. Can use Phase Blink and Phasing Armor.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	Zancudo de apoyo a distancia. Puede usar traslación de fase y armadura de fase.<n/><n/><c val="ffff8a">Puede atacar a unidades aéreas y terrestres.</c>
Warp In Slayer	Invocar exterminador
Ascendant Archives	Archivos de los ascendientes
Death Council	Consejo de la muerte
Warp In Death Council	Invocar consejo de la muerte
Warp In Ascendent Archives	Invocar archivos de los ascendientes
Griffon	Grifo
AC Hero Spawn Placement	Situación de aparición de héroe de CA
Pirate Capital Ship	Buque insignia pirata
ACPirate Capital Ship Left LMWeapon	Arma MI izquierda de buque insignia pirata (CA)
ACPirate Capital Ship Right LMWeapon	Arma MI derecha de buque insignia pirata (CA)
ACPirate Yamato AWeapon	Arma A yamato pirata (CA)
ACPirate Yamato BWeapon	Arma B yamato pirata (CA)
Virophage	Virófago
Biomass Critter	Criatura de biomasa
Point Defense Drone Release Missile	Robot de defensa de punto: liberar misil
Alarak	Alarak
Alarak's Beacon	Baliza de Alarak
AlarakStructureOverchargeWeapon	AlarakStructureOverchargeWeapon
ApocaliskAirAttackMissile	Misil de ataque aéreo de apocalisco
Archangel	Arcángel
Archangel Bombardment Fly-By	Vuelo de bombardeo de Arcángel
Weapon -- Archangel Gun	Arcángel: arma de pistola
Archangel Missile	Misil de Arcángel
Balius	Balius
Archangel AA	Arcángel AA
Covert Banshee	Átropos encubierta
Banshee Black Ops Weapon	Arma de átropos de operación encubierta
Beacon	Beacon
Bile Launcher Zagara Missile	Cañón de bilis: misil de Zagara
Bio Discharge Missile	Misil de biodescarga
Bio-Mechanical Repair Drone	Robot de reparación biomecánica
Biomass	Biomasa
Brutalisk Cocoon	Capullo de brutalisco
Artifact Truck	Camión de artefactos
Stone’s Transport Compound	Recinto de transporte de Stone
Gatekeeper Construct	Ensamblaje guardián
Extraction Device	Dispositivo de extracción
Amon's Train	Tren de Amon
Capture Point	Punto de captura
Charged Buster	Arrasador cargado
FenixChargedBusterUpgraded	FenixChargedBusterUpgraded
Choker	Estrangulador
Colarion	Clolarion
Unbound Fanatic	Sectario desatado
Coop Assist Caster Raynor	Cooperativo: Raynor irradiador auxiliar
Coop Caster Abathur	Cooperativo: irradiador: Abathur
Coop Caster Alarak	Cooperativo: irradiador: Alarak
Coop Caster Dehaka	Cooperativo: irradiador: Dehaka
Coop Caster Horner	Horner: irradiador coop
Coop Caster Kerrigan	Cooperativo: irradiador: Kerriga
Coop Caster Nova	Irradiador cooperativo: Nova
Coop Caster Raynor	Cooperativo: Raynor irradiador
Coop Caster Stukov	Cooperativo: Stukov irradiador
Coop Caster Swann	Cooperativo: Swann irradiador
Coop Caster Tychus	Cooperativo: irradiador: Tychus
Coop Caster Zagara	Cooperativo: irradiador: Zagara
Coop Caster Zeratul	Comentarista cooperativo: Zeratul
Coop Caster Zeratul (Specialization)	Irradiador cooperativo Zeratul (especialización)
Terran Bomb	Bomba terran
Corrosive Acid Missile	Misil de ácido corrosivo
Swann's Special Delivery	Entrega especial de Swann
Creep Tumor Stukov	Tumor de biomateria: Stukov
Purifier Data Core	Núcleo de datos purificador
Suppression Tower	Torre de supresión
Damaged Drakken Laser Drill	Taladro láser drakken dañado
Damaged Moebius Corps Laser Drill	Taladro láser dañado de la Organización Moebius
Damaged Solar Forge	Forja solar dañada
Dark Pylon	Pilón tétrico
Dehaka Consume Launch Target Missile	Misil de objetivo de lanzamiento de consumir de Dehaka
Dehaka Consume Missile	Misil de consumir de Dehaka
Zweihaka	Zweihaka
Dehaka's Den	Guarida de Dehaka
Creeper	Propagador
Explosive Creeper	Propagador explosivo
Dakrun	Dakrun
Dakrun's Den	Guarida de Dakrun
Primal Drone	Zángano primigenio
Glevig	Glevig
Glevig's Den	Guarida de Glevig
Primal Hive	Colmena primigenia
Larva	Larva
Primal Locust	Langosta primigenia
Murvar	Murvar
Murvar's Den	Guarida de Murvar
Primal Mutalisk Chrysalis	Crisálida de mutalisco primigenio
Greater Primal Wurm	Guja dragón primigenia superior
DehakaNydusDestroyerTimedNoFoodWeapon	DehakaNydusDestroyerTimedNoFoodWeapon
Ravasaur	Ravasauro
Dehaka Town Hall	Ayuntamiento de Dehaka
Primal Zergling	Zergling primigenio
Disruptor Attack	Ataque de disruptor
Unfinished Drakken Laser Drill	Taladro láser drakken sin terminar
Drakken Laser Drill Nuke Attack Missile	Misil de ataque nuclear de taladro láser drakken
EMPTower	Torreta PEM
Zerg Cocoon	Capullo de zerg
Environmental Stabilizer	Estabilizador ambiental
Essence	Esencia
Evolution Pit	Fosa de evolución
Shade	Sombra
Purifier Conclave	Cónclave de los purificadores
Fenix	Fénix
Bomber	Bombardero
Clolarion	Clolarion
Air Bomb	Bomba aérea
FenixDragoonAttackMissile	FenixDragoonAttackMissile
FenixDragoonChargedBlastAttackMissile	FenixDragoonChargedBlastAttackMissile
Kaldalis	Kaldalis
FenixManaDummy1	FenixManaDummy1
FenixManaDummy2	FenixManaDummy2
FenixManaDummy3	FenixManaDummy3
Mojo	Mojo
FenixMojoScoutAirWeaponLeft	FenixMojoScoutAirWeaponLeft
FenixMojoScoutAirWeaponRight	FenixMojoScoutAirWeaponRight
Probius	Sondius
Talandar	Talandar
Taldarin	Taldarin
Talis	Talis
FenixTalisAdeptBounceShotLM1Weapon	FenixTalisAdeptBounceShotLM1Weapon
FenixTalisAdeptBounceShotLM2Weapon	FenixTalisAdeptBounceShotLM2Weapon
FenixTalisAdeptBounceShotLM3Weapon	FenixTalisAdeptBounceShotLM3Weapon
FenixTalisAdeptBounceShotLM4Weapon	FenixTalisAdeptBounceShotLM4Weapon
FenixTalisAdeptBounceShotLM5Weapon	FenixTalisAdeptBounceShotLM5Weapon
FenixTalisAdeptUpgradeWeapon	FenixTalisAdeptUpgradeWeapon
FenixTalisAdeptWeapon	FenixTalisAdeptWeapon
FenixTalisShadeWeapon	FenixTalisShadeWeapon
Warbringer	Belisario
Xenon Crystal	Cristal de xenón
Spec Ops Ghost	Fantasma de operaciones especiales
Strike Goliath	Goliat de asalto
Goliath Black Ops AWeapon	Arma A de goliat de operación encubierta
Omega Worm	Oruga omega
Omega Worm<n/><n/><c val="ffff8a">Both players can use<n/>this Nydus Worm to send<n/>units to any other Nydus.</c>	Oruga omega<n/><n/><c val="ffff8a">Los dos jugadores pueden usar<n/>esta oruga omega para enviar<n/>unidades a cualquier otra oruga nydus.</c>
Greater Roach Warren	Madriguera de cucarachas mayor
Guardian Cocoon	Capullo de guardián
Deimos Viking	Vikingo deimos
Sovereign Battlecruiser	Crucero de batalla soberano
Assault Drone	Dron de asalto
Mag Mine	Mina magnética
Space Station	Estación espacial
Theia Raven	Cuervo theia
Scrap Pickup	Recogida de chatarra
Dominion Starport	Puerto estelar del Dominio
Horner's Starport	Puerto estelar de Horner
Asteria Wraith	Espectro asteria
Hellbat Ranger	Murciélago infernal explorador
Hellion Ranger	Explorador erebion
Hunterling	Cazaling
Hybrid	Hybrid
Moebius Hybrid	Híbrido de Moebius
Hybrid Stasis Chamber	Cámara de estasis de híbridos
Hyperion Air Attack Weapon	Arma de ataque aéreo del Hyperion
Hyperion Ground Attack Weapon	Arma de ataque terrestre del Hyperion
Hyperion Yamato Cannon Attack Weapon	Arma de ataque de cañón yamato del Hyperion
Impaler	Empalador
Impaler Egg	Huevo de empalador
Industrial Ship	Nave industrial
Volatile Infested	Infestado volátil
Infested Industrial Ship	Nave industrial infestada
InfestedSiegeTankImpalerTentacle	InfestedSiegeTankImpalerTentacle
Alexei Stukov	Alexei Stukov
InfestedStukovCoopDevastatingShotWeapon	InfestedStukovCoopDevastatingShotWeapon
Infested Wraith Snare Attack Missile	Misil de ataque de frenado de espectro infestado
Instant Seeker	Rastreador instantáneo
Kaboomer	Pulverizador
Auto-Turret	Torreta automática
Kel-Morian Devastation Turret Weapon	Arma de torreta de granadas de Kel-Morian
LavaUnit	Unidad de lava
Leviathan Cocoon	Capullo de leviatán
Raid Liberator	Liberador de incursión
Liberator AG Black Ops Missile	Misil de operación encubierta antiterrestre de liberador
Liberator Black Ops Damage Missile	Misil de daño de operación encubierta de liberador
Liberator Black Ops Missile	Misil de liberador de operación encubierta
Locust Nest	Nido de langostas
Marauder Magrail Munitions Launch Missile	Misil de lanzamiento de munición de levitación magnética de persecutor
Marauder Commando	Persecutor comando
Marauder Black Ops LMWeapon	Arma MI de operación encubierta de persecutor
Elite Marine	Soldado de élite
Marine_BlackOpsSpawnerUnit	Unidad creadora de soldados de la operación negra
Aurana’s Transport	Transporte de Aurana
Merc Vulture	Buitre mercenario
Mira Starport Missile	Misil de puerto estelar de Mira
Zoraya	Zoraya
Dehaka Spawn	Engendro de Dehaka
Karax	Karax
Servitor	Servitor
Raynor	Raynor
Tychus	Tychus
Zagara	Zagara
Magnetic Mine	Mina magnética
Cloaked Mine Weapon	Arma de mina invisible
Dancing Oracle	Oráculo danzante
Death Bot	Robot letal
Gas Pickup	Recogida de gas
Mineral Pickup	Recogida de minerales
Mutator Fireworks Missile	Mutator Fireworks Missile
Infested Turkey	Pavo infestado
Infested Turkey Disgusting Spew Weapon	Arma de regurgitación asquerosa de pavo infestado
Moebius Corps Laser Drill	Taladro láser de la Organización Moebius
Missile Nuke	Bomba nuclear de misil
Missile Point Defense	Defensa de punto de misil
Missile Splitter	Divisor de misil
Missile Splitter Child	Asociado de divisor de misil
Missile Standard	Estándar de misil
Murder Bot	Robot homicida
Spider Mine	Mina araña
Stone Zealot	Fanático de piedra
Storm Cloud	Nube tormentosa
Turkey	Pavo
The Turking	Pavorrey
Void Reanimator	Reanimador del vacío
Void Rift	Falla de vacío
Mutator Widow Mine Air Weapon	Arma aérea de mina viuda de mutación
Mutator Widow Mine Weapon	Arma de mina viuda de mutación
Railgun Turret	Torreta de raíles
Nova Coop Caster Stun Grenade Weapon	Arma de granada conmocionante de irradiador de comandante cooperativa Nova
Nova Gadget Flash Bang Grenades Weapon	Nova: artilugio: arma de granadas cegadoras
Nova Gadget Pulse Grenades Weapon	Nova: artilugio: arma de granadas de pulsos
Griffin	Grifo
Nova Penetrator Round Missile	Nova: misil de proyectil penetrante
Nova's Stasis Shell	Cámara de estasis de Nova
Nova Unit Lockdown Missile	Misil de cierre de unidad de Nova
Nova Unit Smoke Grenade Missile	Misil de granada de humo de unidad de Nova
Nydus Worm	Oruga nydus
Odin Mk II	Odín Mk II
Odin MK II Anti-Air	Antiaéreo de Odín Mk II
Odin Mk II Wreckage	Restos de Odín Mk II
Omega Network	Red omega
Balius Part	Pieza del Balius
Point Defense Drone Black Ops Release Weapon	Robot de defensa de punto de operación encubierta: liberar arma
PowerRadius_Stetmann_Terrain	Radio de energía: Stetmann - Terreno
Vespene Pickup	Recogida de vespeno
Purification Orb	Orbe de purificación
Pylon Power Ally Unit	Energía de pilón: unidad aliada
Brood Queen	Reina de la prole
Ravager Cocoon	Capullo de asolador
Ravager Corrosive Bile Aoe Missile	Asolador: Misil de AdE de bilis corrosiva
Raven Type-II	Cuervo tipo II
Molten Salamander	Salamandra de fuego
RedstoneSalamanderFireballWeapon	RedstoneSalamanderFireballWeapon
Repair Generator	Generador de reparación
Research Vessel	Nave de investigación
Infested Banshee	Átropos infestada
Infested Colonist Compound	Complejo de colonos infestado
SIClusterRocketsMissileLeft	SIClusterRocketsMissileLeft
SIClusterRocketsMissileRight	SIClusterRocketsMissileRight
Infested Cocoon	Capullo infestado
Infested Bunker	Búnker infestado
Infested Trooper	Agente infestado
Infested Liberator	Liberador infestado
Viral Swarm	Enjambre viral
Psi Emitter	Emisor psiónico
Infested Tech Lab	Laboratorio tecnológico infestado
Army Evolution Set	Conjunto de evolución del ejército
Baneling A	Pesteling A
Baneling B	Pesteling B
Dominion Space Set	Conjunto espacial del Dominio
Dominion Space Set (Hyperion)	Conjunto espacial del Dominio (Hyperion)
Dominion Space Set 02	Conjunto espacial del Dominio 02
Swarm Host A	Gestador A
Swarm Host B	Gestador B
Egg Room Set - Baneling Egg	Conjunto de huevos de cámara: huevo de pesteling
Egg Room Set - Egg Monster Egg	Conjunto de huevos de cámara: huevo de monstruo de crisálidas
Egg Room Set - Hydralisk Egg	Conjunto de huevos de cámara: huevo de hidralisco
Egg Room Set - Infestor Egg	Conjunto de huevos de cámara: huevo de infestador
Egg Room Set - Lurker Egg	Conjunto de huevos de cámara: huevo de merodeador
Egg Room Set - Mutalisk Egg	Conjunto de huevos de cámara: huevo de mutalisco
Egg Room Set - Roach Egg	Conjunto de huevos de cámara: huevo de cucaracha
Egg Room Set	Conjunto de huevos de cámara
Egg Room Set Callout Positions	Posiciones de llamada de conjunto de huevos de cámara
Egg Room Set - Ultralisk Egg	Conjunto de huevos de cámara: huevo de ultralisco
Egg Room Set - Zerg Flyer Egg	Conjunto de huevos de cámara: huevo de unidad voladora zerg
Egg Room Set - Zergling Egg	Conjunto de huevos de cámara: huevo de zergling
SMX1 - Evolution Master	SMX1 - Maestro de evolución
SMX1 - Evolution Master Base	SMX1 - Base de maestro de evolución
Hydralisk A	Hidralisco A
Hydralisk B	Hidralisco B
SMX1 - Kerrigan Dezerged with Light	SMX1 - Kerrigan desinfectada con luz
SMX1 - Kerrigan Infested with Light	SMX1 - Kerrigan infestada con luz
Kerrigan Upgrade Background	Fondo de mejora de Kerrigan
Kerrigan Upgrade Set	Conjunto de mejora de Kerrigan
Leviathan Set, 00	Conjunto de leviatán, 00
Leviathan Set, 01	Conjunto de leviatán, 01
Leviathan Set, 02	Conjunto de leviatán, 02
Leviathan Set, 03	Conjunto de leviatán, 03
Leviathan Set Callout Positions	Posiciones de llamada de conjunto de leviatán
Mutalisk A	Mutalisco A
Mutalisk B	Mutalisco B
Roach A	Cucaracha A
Roach B	Cucaracha B
Ultralisk A	Ultralisco A
Ultralisk B	Ultralisco B
SMX1 - ZaGara	SMX1 - Zagara
