Amorphous Armorcloud	Amorphe Deckungswolke
Automatically repairs Liberators when out of combat at a rate of <d ref="Behavior,RegenerativeBioSteelLiberator,Modification.VitalRegenArray[Life]"/> life per second.	Repariert Falken automatisch außerhalb des Kampfes um <d ref="Behavior,RegenerativeBioSteelLiberator,Modification.VitalRegenArray[Life]"/> Trefferpunkte pro Sekunde.
Automatically repairs Goliaths when out of combat at a rate of <d ref="Behavior,RegenerativeBioSteelGoliath,Modification.VitalRegenArray[Life]"/> life per second.	Repariert Goliaths automatisch außerhalb des Kampfes um <d ref="Behavior,RegenerativeBioSteelGoliath,Modification.VitalRegenArray[Life]"/> Trefferpunkte pro Sekunde.
Automatically repairs Battlecruisers when out of combat at a rate of <d ref="Behavior,RegenerativeBioSteelBattlecruiser,Modification.VitalRegenArray[Life]"/> life per second.	Repariert Schwere Kreuzer automatisch außerhalb des Kampfes um <d ref="Behavior,RegenerativeBioSteelBattlecruiser,Modification.VitalRegenArray[Life]"/> Trefferpunkte pro Sekunde.
<s val="NovaMissionRewardsTooltipTitle">Regenerative Bio-Steel</s><n/><s val="NovaMissionRewardsTooltipSubtitle">Automatically repairs the equipped unit over time while out of combat.</s>	<s val="NovaMissionRewardsTooltipTitle">Regenerativer Biostahl</s><n/><s val="NovaMissionRewardsTooltipSubtitle">Repariert die damit ausgerüstete Einheit automatisch außerhalb des Kampfes.</s>
Increases attack and movement speeds for <d ref="Behavior,SuperStim,Duration"/> seconds. Heals the Marine for <d ref="Effect,SuperStimpackMarineSetMU,VitalArray[Life].Change"/> life.	Erhöht <d ref="Behavior,SuperStim,Duration"/> Sek. lang die Angriffs- und Bewegungsgeschwindigkeit. Heilt den Space-Marine um <d ref="Effect,SuperStimpackMarineSetMU,VitalArray[Life].Change"/> Trefferpunkte.
Increases attack and movement speeds for <d ref="Behavior,SuperStim,Duration"/> seconds. Heals the Marauder for <d ref="Effect,SuperStimpackMarauderHellbatSetMU,VitalArray[Life].Change"/> life.	Erhöht <d ref="Behavior,SuperStim,Duration"/> Sek. lang die Angriffs- und Bewegungsgeschwindigkeit. Heilt den Marodeur um <d ref="Effect,SuperStimpackMarauderHellbatSetMU,VitalArray[Life].Change"/> Trefferpunkte.
Increases attack and movement speeds for <d ref="Behavior,SuperStim,Duration"/> seconds. Heals the Hellbat for <d ref="Effect,SuperStimpackMarauderHellbatSetMU,VitalArray[Life].Change"/> life.	Erhöht <d ref="Behavior,SuperStim,Duration"/> Sek. lang die Angriffs- und Bewegungsgeschwindigkeit. Heilt den Kampfhellion um <d ref="Effect,SuperStimpackMarauderHellbatSetMU,VitalArray[Life].Change"/> Trefferpunkte.
Increases attack and movement speeds for <d ref="Behavior,SuperStim,Duration"/> seconds. Heals the Reaper for <d ref="Effect,SuperStimpackReaperSetMU,VitalArray[Life].Change"/> life.	Erhöht <d ref="Behavior,SuperStim,Duration"/> Sek. lang die Angriffs- und Bewegungsgeschwindigkeit. Heilt den Rächer um <d ref="Effect,SuperStimpackReaperSetMU,VitalArray[Life].Change"/> Trefferpunkte.
<s val="NovaMissionRewardsTooltipTitle">Super Stimpack</s><n/><s val="NovaMissionRewardsTooltipSubtitle">Heals the unit and temporarily increases its attack and movement speeds.</s>	<s val="NovaMissionRewardsTooltipTitle">Super-Stimpack</s><n/><s val="NovaMissionRewardsTooltipSubtitle">Heilt die Einheit und erhöht vorübergehend ihre Angriffs- und Bewegungsgeschwindigkeit.</s>
Allows Liberators to cloak.	Ermöglicht es Falken, sich zu tarnen.
Allows Banshees to remain permanently cloaked.	Ermöglicht es Banshees, dauerhaft getarnt zu bleiben.
Permanently cloaks Reapers.	Tarnt Rächer dauerhaft.
Allows Battlecruisers to cloak.	Ermöglicht Schweren Kreuzern, sich zu tarnen.
<s val="NovaMissionRewardsTooltipTitle">Advanced Cloaking Field</s><n/><s val="NovaMissionRewardsTooltipSubtitle">Allows the equipped unit to cloak or to remain permanently cloaked.</s>	<s val="NovaMissionRewardsTooltipTitle">Verbessertes Tarnfeld</s><n/><s val="NovaMissionRewardsTooltipSubtitle">Ermöglicht es der damit ausgerüsteten Einheit, sich zu tarnen oder dauerhaft getarnt zu bleiben.</s>
Equips Banshees with a Shockwave Missile Battery, upgrading their attacks to damage multiple units in a straight line.	Stattet Banshees mit einer Schockwellen-Raketenbatterie aus, was es ihnen ermöglicht, mehreren Einheiten entlang einer geraden Linie Schaden zuzufügen.
Replaces the Seeker Missile ability with a Seeker Missile weapon that automatically attacks enemy units and does not cost energy.	Ersetzt die konventionelle zielsuchende Rakete durch eine verbesserte Version, die gegnerische Einheiten automatisch angreift und keine Energie benötigt.
[PH] Advanced Weaponry	Hochentwickelte Waffen
[PH] Energy costs reduced by 20% for Ravens.	Energiekosten für Raven um 20% verringert.
[PH] Cooldowns decreased by 20% for Battlecruisers.	Abklingzeiten für Schwere Kreuzer um 20% verkürzt.
Reduces the time required to train Marines.	Verringert die benötigte Ausbildungszeit von Space-Marines.
Reduces the time required to build Liberators.	Verringert die benötigte Bauzeit von Falken.
Reduces the time required to train Hellbats.	Verringert die benötigte Ausbildungszeit von Kampfhellions.
[PH] Builds faster!	Verringerte Bauzeit
The Dominion fleet's Gorgon battlecruisers are at Nova's command. Call them down onto battlefield if an area begins to fall to the Tal'darim.	Die Gorgonenkreuzer der Ligaflotte unterstehen Novas Befehl. Fordern Sie sie auf dem Schlachtfeld an, wenn ein Gebiet droht, in die Hände der Tal'darim zu fallen.
Dominion Gorgons	Gorgonenkreuzer der Liga
Battlecruisers can use Tactical Jump to quickly relocate themselves. Use this to get them where they need to be.	Schwere Kreuzer können mit der Fähigkeit "Taktischer Warpsprung" schnell die Position wechseln. Auf diese Weise können Sie sie immer dort einsetzen, wo sie gebraucht werden.
(PH) Weapon dealing area of effect melee damage and short range anti-air fire. Allows Nova to use the (PH?) Fury of One ability.	Waffe mit Flächenschaden auf Nahkampfdistanz und Luftabwehrfeuermodus für kurze Entfernungen. Ermöglicht Nova, die Fähigkeit "Alphaschlag" einzusetzen.
(PH) Blazefire Gunblade	Blazefire-Sturmklinge
Hero	Held
(PH) Advanced technology, allowing Nova to teleport to a designated location. Upon completion, Nova becomes temporarily cloaked.	Moderne Technologie, die es Nova ermöglicht, sich zu einem Zielort zu teleportieren. Nach dem Teleport ist Nova vorübergehend getarnt.
(PH) Blink Suit	Teleportationsanzug
(PH) Allows Nova to take control of a targeted enemy unit. Useful for causing distractions and tripping laser detectors, among other uses.	Erlaubt Nova, die Kontrolle über eine feindliche Zieleinheit zu übernehmen. Unter anderem einsetzbar für Ablenkungsmanöver oder um Laserschranken auszulösen.
(PH) Domination Visor	Kontrollvisier
(PH) The Dominion fleet is at Nova's command. Should an area of the battlefield become overwhelmed with Tal'darim, call upon a Gorgon Battlecruiser to help clear it out.	Die Flotte der Liga untersteht jetzt Novas Kommando. Droht ein Bereich des Schlachtfelds von den Tal'darim überrannt zu werden, können Sie einen Gorgonenkreuzer anfordern, um ihn zu säubern.
(PH) Dominion Fleet	Flotte der Liga
Scattered throughout the area, these lockers allow Nova to change her equipment in order to tailor her approach to difficult situations.	Diese Ausrüstungscontainer sind überall in diesem Bereich verstreut und ermöglichen es Nova, schnell die Ausrüstung zu wechseln, um ihre Taktik an schwierige Situationen anzupassen.
Equipment Lockers	Ausrüstungscontainer
Air superiority weapon system. Launches wings of automated fighters that can attack ground and air units and deal additional damage vs. air units.	Waffensystem für Luftüberlegenheit. Startet Staffeln automatischer Kampfdrohnen, die Boden- und Lufteinheiten angreifen können und Lufteinheiten zusätzlichen Schaden zufügen.
Anti-infantry weapon system. Deals splash damage with additional damage vs. light units. Can attack ground units.	Waffensystem zur Bekämpfung von Infanterie. Verursacht Flächenschaden und fügt leichten Einheiten zusätzlichen Schaden zu. Kann Bodeneinheiten angreifen.
The Dominion's Gorgon battlecruisers are undergoing repairs. Their destruction would significantly damage the strength of the fleet. They must be protected.	Die Gorgonenkreuzer der Liga müssen Reparaturen unterzogen werden. Ihre Zerstörung würde die Schlagkraft der Flotte deutlich beeinträchtigen. Sie müssen beschützt werden.
Gorgon Repair Bays	Reparaturdock
During stealth infiltration missions, it can be helpful to use Nova's Hold Fire<k val="Ghost,GhostHoldFire,1,2"/> ability to keep her from automatically acquiring enemy targets.	Bei Infiltrationsmissionen im Tarnmodus ist es manchmal von Vorteil, die Fähigkeit "Feuer einstellen" <k val="Ghost,GhostHoldFire,1,2"/> zu verwenden, um zu verhindern, dass Nova feindliche Ziele automatisch angreift.
Security devices put in place by the Defenders of Man. Temporarily reveals and disables the cloaking of any unit that crosses its laser beam. Can be temporarily deactivated with Flashbang Grenades.	Von den Verteidigern der Menschheit installierte Sicherheitssysteme, die für kurze Zeit die Tarnvorrichtung jeder Einheit außer Gefecht setzen, die ihren Laserstrahl durchquert. Können vorübergehend mit Blendgranaten deaktiviert werden.
Laser Tripwires	Laserschranken
Area bombardment weapon system. Fires multiple missile salvos across a large area, dealing damage to multiple units simultaneously.	Waffensystem für Flächenbombardements. Feuert mehrere Raketensalven über ein weites Gebiet verstreut und fügt mehreren Einheiten gleichzeitig Schaden zu.
Anti-armor weapon system. Deals high damage to single targets with additional damage vs. armored units. Can attack ground and air units.	Waffensystem zur Bekämpfung gepanzerter Einheiten. Fügt einzelnen Zielen hohen Schaden zu, wobei gepanzerte Einheiten zusätzlichen Schaden erleiden. Kann Boden- und Lufteinheiten angreifen.
High tech automaton employed by the Defenders of Man to help reveal cloaked threats. Any cloaked units caught in its detection pulse are hit with an EMP and revealed.	Hochmoderne automatische Einheit, die von den Verteidigern der Menschheit gegen getarnte Ziele eingesetzt wird. Alle getarnten Einheiten, die sich im Wirkungsbereich ihres Detektorfelds befinden, erhalten einen elektromagnetischen Impuls und werden enttarnt.
Sensor Drones	Sensordrohnen
Prototype weapons platform commanded by General Davis. Capable of equipping several devastating weapon systems and repairing itself between engagements.	Prototyp einer Waffenplattform unter dem Kommando von General Davis. Kann mit mehreren tödlichen Waffensystemen bestückt werden und ist in der Lage, sich in Kampfpausen selbst zu reparieren.
A tactical strike aircraft that bombards enemy ground forces with rocket salvos. Can cloak for covert hit-and-run sorties.	Lufteinheit für taktische Angriffe, die gegnerische Kräfte am Boden mit Raketensalven beschießt. Kann dank ihrer Tarnfähigkeit überraschend zuschlagen und sich dann wieder zurückziehen.
Experimental weapon that is capable of both melee and ranged attacks. Allows Nova to use the Fury of One ability.	Experimentelle Waffe, die sowohl für Nah- als auch für Fernkampfangriffe eingesetzt werden kann. Ermöglicht Nova, die Fähigkeit "Alphaschlag" einzusetzen.
Prototype tactical suit that allows Nova to teleport short distances. Nova is briefly cloaked after teleporting.	Prototyp eines taktischen Kampfanzugs, der es Nova erlaubt, sich über kurze Distanzen zu teleportieren. Nach dem Teleport ist Nova kurze Zeit getarnt.
You do not need to control your army while Nova is conducting a solo operation. Battlefield conditions will remain stable until her return.	Solange Nova eine Einzeloperation durchführt, müssen Sie Ihre Armee nicht verwalten. Die Lage auf dem Schlachtfeld bleibt bis zu ihrer Rückkehr unverändert.
Solo Operative	Einzelkämpfer
Ghosts are deadly even without a weapon. Use Break Neck while Nova is in melee range to instantly kill an enemy unit.	Ghosts sind selbst unbewaffnet tödlich. Setzen Sie bei Gegnern in Nahkampfreichweite die Fähigkeit "Genickbruch" ein, um eine gegnerische Einheit sofort zu töten.
Break Neck	Genickbruch
Nova's Tactical Stealth Suit cloaks her from enemy vision. Only units with the <c val="FFE303">Detector</c> ability can see her when she is cloaked.	Novas taktischer Tarnanzug schützt sie vor feindlicher Sicht. Nur Einheiten mit <c val="FFE303">Detektoreigenschaften</c> können sie sehen.
Alarak's Challenge	Alaraks Aufgabe
The Death Fleet is cutting a swath of destruction across the city. They must be stopped before they reach the civilian emergency shelter.	Die Todesflotte zieht eine Schneise der Zerstörung in diesem Gebiet. Sie müssen sie aufhalten, bevor sie das Auffanglager erreichen, in das sich die zivile Bevölkerung geflüchtet hat.
Death Fleet	Todesflotte
Allows Nova to take control of enemy units. Enemies under this effect can be used to open doors, set off false alarms, and even attack their former allies.	Ermöglicht es Nova, die Kontrolle über eine gegnerische Einheit zu übernehmen. Auf diese Weise kontrollierte Gegner können eingesetzt werden, um Türen zu öffnen, falschen Alarm auszulösen und sogar ihre eigenen Verbündeten anzugreifen.
Enemy Ghosts carry EMP rounds. If Nova is hit with one of them, she will be unable to cloak for the next <d ref="Behavior,DOMEMPDecloak,Duration"/> seconds.	Gegnerische Ghosts setzen EMP-Projektile ein. Wenn Nova von einem solchen Projektil getroffen wird, kann sie sich für die nächsten <d ref="Behavior,DOMEMPDecloak,Duration"/> Sek. nicht tarnen.
EMP Rounds	EMP-Projektile
Large numbers of feral zerg still inhabit Tarsonis City. Defend your base against their attacks as you garrison your units.	Tarsonis City ist immer noch von größeren Kolonien verwilderter Zerg bevölkert. Verteidigen Sie Ihre Basis gegen ihre Angriffe, während Sie Garnisonen bemannen.
Feral Zerg	Verwilderte Zerg
Decisions made during Nova's flashbacks determine the types of zerg you will face throughout the mission. Make your choices wisely.	Entscheidungen, die während Novas Rückblenden getroffen wurden, bestimmen, auf welche Art von Zerg Sie im Laufe Ihrer Mission treffen werden. Sie sollten daher gut überlegen.
Flashback Decisions	Rückblendende Entscheidung
