Amorphous Armorcloud	Nimboarmadura amorfa
Scipione	Scipione
Nott	Nott
Ahad	Ahad
Lin	Lin
Washburn	Washburn
Fujiman	Fujiman
Watrous	Watrous
Bidermann	Bidermann
Jimenez	Jimenez
Nikora	Nikora
Libralato	Libralato
Owings	Owings
Agustin	Agustin
Corning	Corning
Hatfield	Hatfield
Tsing	Tsing
Morten	Morten
Ismay	Ismay
Day	Day
Wolfe	Wolfe
Ekermo	Ekermo
Brunasso	Brunasso
Chimes	Chimes
Reed	Reed
Despie	Despie
Lawrence	Lawrence
McDiarmid	McDiarmid
Yang	Yang
McCown	McCown
Repp	Repp
Boyle	Boyle
Calderone	Calderone
Keet	Keet
Green	Verde
Schutter	Schutter
Dijck	Dijck
Burdukovskiy	Burdukovskiy
Booth	Booth
Wood	Wood
Hubert	Hubert
Rivers	Rivers
Weinberg	Weinberg
Kasemeier	Kasemeier
Goodman	Goodman
Eheler	Eheler
McNaughton	McNaughton
McMahon	McMahon
Watson	Watson
Greenfield	Greenfield
Haban	Haban
Sutherland	Sutherland
Shute	Shute
Shapiro	Shapiro
Frank	Frank
Schwan	Schwan
Horng	Horng
Bancroft	Bancroft
Song	Song
Grenewetzki	Grenewetzki
Boswell	Boswell
Dowling	Dowling
Diaz	Diaz
Fugate	Fugate
Kingsbury	Kingsbury
Risselada	Risselada
Sassone	Sassone
Phan	Phan
Chung	Chung
Keks	Keks
Huston	Huston
Rofe	Rofe
Tran	Tran
Plass	Plass
Lozano-Wade	Lozano-Wade
Trimble	Trimble
Pull	Pull
Yasukochi	Yasukochi
Lingo	Lingo
Glover	Glover
Agganis	Agganis
Worcester	Worcester
Dickson	Dickson
Ipfelkofer	Ipfelkofer
Di Mariano	Di Mariano
Castro Mas	Castro Mas
Wehbe	Wehbe
Savanzha	Savanzha
Arnal Sarasola	Arnal Sarasola
Boti	Boti
Kofler	Kofler
Commander	Comandante
Agent	Agente
Captain	Capitán
Lieutenant	Teniente
Admiral	Almirante
<c val="FFE303">Detector</c><n/>Operator	<c val="FFE303">Operador</c><n/> de detector
Lt. Commander	Teniente comandante
Ensign	Alférez
Commodore	Comodoro
Sergeant	Sargento
Corporal	Cabo
Major	Sargento mayor
Highlord of the Tal'darim	Señor supremo de los tal'darim
Brings his forces into battle ready for combat.	Lleva sus fuerzas a la batalla, listas para el combate.
<ul indent="2" text="•"><li/>Warps in units instantly into battle.<li/>Harnesses offensive and defensive Spear of Adun abilities.<li/>Commander Difficulty: Easy	<ul indent="2" text="•"><li/>Transposiciona unidades al campo de batalla instantáneamente.<li/>Controla las habilidades ofensivas y defensivas de la Lanza de Adún.<li/>Dificultad de comandante: Fácil
Purifier Executor	Ejecutor de los Purificadores
<ul indent="2" text="•"><li/>Has access to the Solar Forge structure which upgrades the Spear of Adun's energy regen and cooldown reduction.<li/>Does not warp in air units.	<ul indent="2" text="•"><li/>Tiene acceso a la Forja solar, estructura que mejora la regeneración de energía de la Lanza de Adún y reduce su tiempo de recuperación.<li/>No transposiciona unidades aéreas.
Manipulates space and time.	Manipula el espacio y el tiempo.
<ul indent="2" text="•"><li/>Spear of Adun powers can stun enemies and cloak allies.<li/>Has powerful Dark Templar units.<li/>Commander Difficulty: Hard	<ul indent="2" text="•"><li/>Los poderes de la Lanza de Adún pueden aturdir a los enemigos y camuflar a los aliados.<li/>Cuenta con poderosos Templarios oscuros.<li/>Dificultad de comandante: Difícil
Indiana Cain	Indiana Cain
Han & Horner	Han y Horner
Excellent infantry commander	Excelente comandante de infantería
Calls in the Hyperion	Llama al Hiperión
Has Banshees	Tiene Banshees
Medics heal things	Las médicas pueden curar
Specializes in vehicles and defensive structures	Se especializa en vehículos y estructuras defensivas
Has a lot of mech	Tiene muchas unidades mecánicas
Shoots stuff with a drill	Dispara a los objetivos con un taladro
Makes turrets	Construye torretas
Has experience making deals with devils.	Tiene experiencia en hacer pactos con el diablo.
Steals technology	Roba tecnología
Shoots stuff with guns	Dispara a las cosas con sus armas
Loves mechs	Ama los mecas
Commands massive armies and potent psionic powers	Controla enormes ejércitos y grandes poderes psiónicos
<ul indent="2" text="•"><li/>Powerful Hero Unit that fights on the battlefield.<li/>She and her allies can collect resources from fallen enemies.<li/>Commander Difficulty: Medium	<ul indent="2" text="•"><li/>Poderosa unidad heroica que lucha en el campo de batalla.<li/>Ella y sus aliados pueden recolectar recursos de enemigos caídos.<li/>Dificultad de comandante: Intermedia
Fights with relentless waves of the swarm	Pelea con implacables oleadas del Enjambre
<ul indent="2" text="•"><li/>Powerful Spawner Hero Unit that fights on the battlefield.<li/>Fights only with melee units.<li/>Ability, Mass Frenzy increases all friendly unit's attack and movement speeds.<li/>Combat units morph faster and cost less.<li/>Maximum supply limited to 100.<li/>Commander Difficulty: Easy	<ul indent="2" text="•"><li/>Poderosa unidad heroica engendradora que lucha en el campo de batalla.<li/>Solo utiliza unidades de melé.<li/>La habilidad Frenesí en masa aumenta la velocidad de ataque y movimiento de todas las unidades aliadas.<li/>Las unidades de combate se crean más rápido y cuestan menos..<li/>El máximo de suministros es 100.<li/>Dificultad de comandante: Fácil
Your hero has died.  Construct a town hall to revive it.	Tu héroe ha muerto. Para revivirlo, construye un ayuntamiento.
Your hero has died.  It will be revived in ~TIME~ seconds.	Tu héroe ha muerto.  Revivirá en ~TIME~ segundos.
Your hero has been revived.	Tu héroe ha revivido.
Guardian Abathur	Abathur guardián
Zerg -	Zerg -
Protoss -	Protoss -
(Hunter)	(Cazador)
<ul indent="2" text="•"><li/>Leaps over obstacles and onto targets from long range.<li/>Can jump up and down cliffs.</ul>	<ul indent="2" text="•"><li/>Salta obstáculos o sobre los objetivos desde larga distancia.<li/>Puede subir y bajar riscos.</ul>
(Splitter)	(Mitocito)
<ul indent="2" text="•"><li/>Splits into two Baneling Spawn on death.<li/>Baneling Spawn deal less damage.</ul>	<ul indent="2" text="•"><li/>Se divide en dos engendros de Uetzi al morir.<li/>Los engendros de Uetzi infligen menos daño.</ul>
(Stock)	(Reserva)
Terran -	Terran -
Tempest	Tempestad
(Shakuras)	(Shakuras)
Mothership	Nave nodriza
Wrathwalker	Trotafurias
(Void MP)	(Void MP)
Shadow Hunter	Cazador sombrío
Terran - Merc -	Terran - Mercenario -
Horner Battlecruiser	Crucero de batalla de Horner
HH Marine	HH Marine
Horner Raven	Cuervo de Horner
Horner Reaper	Yum-Kimil de Horner
Repair Bot	Robot reparador
Horner Viking	Vikingo de Horner
Horner Warhound	Can de guerra de Horner
Horner Widow Mine	Mina viuda de Horner
Horner Wraith	Ánima de Horner
Ascendant	Ascendiente
(Impaler)	(Empalador)
Can morph into an Impaler:<n/><ul indent="2" text="•"><li/>Attacks single targets while it is burrowed.<li/>Effective against armored units.</ul>	Puede transformarse en Empalador:<n/><ul indent="2" text="•"><li/>Ataca a un objetivo único cuando está enterrado.<li/>Es efectivo contra unidades blindadas.</ul>
(Lurker)	(Acechador)
Can morph into a Lurker:<n/><ul indent="2" text="•"><li/>Attacks multiple enemies while it is burrowed.<li/>Effective against light ground units.</ul>	Puede transformarse en Acechador:<n/><ul indent="2" text="•"><li/>Ataca a muchos objetivos cuando está enterrado.<li/>Es efectivo contra unidades terrestres ligeras.</ul>
(Purifier)	(Purificador)
Annihilator	Aniquilador
Vanguard	Vanguardia
Skibi's Angels	Ángeles de Skibi
Mini Drakken Laser Drill	Minitaladro láser Drakken
Havoc	Caótico
(Broodlord)	(Amo de la colonia)
Can morph into a Brood Lord:<n/><ul indent="2" text="•"><li/>Besieges ground targets from long range.<li/>Attacks spawn Broodlings.</ul>	Puede transformarse en un Amo de la colonia:<n/><ul indent="2" text="•"><li/>Asedia a objetivos terrestres desde larga distancia.<li/>Sus ataques engendran Ácaros.</ul>
(Viper)	(Víbora)
Can morph into a Viper:<n/><ul indent="2" text="•"><li/>Pulls units to new locations. Enemies will be stunned for 1 second.<li/>Slows enemy ground units and prevents them from attacking.<li/>Drains life from allied units to restore energy.<li/>Can attack air units.</ul>	Puede transformarse en una Víbora :<n/><ul indent="2" text="•"><li/>Mueve unidades a nuevas ubicaciones. Los enemigos quedan aturdidos por 1 segundo.<li/>Ralentiza a las unidades terrestres enemigas e impide que ataquen.<li/>Drena vida de las unidades aliadas para restablecer su energía.</ul>Ataca unidades aéreas.</c>
Corsair	Corsario
(Corpser)	(Bracónido)
<ul indent="2" text="•"><li/>Enemies damaged by the Roach will spawn two Roachlings if killed quickly.</ul>	<ul indent="2" text="•"><li/>Los enemigos dañados por la Cucaracha engendran dos Cucarachitas si mueren rápido.</ul>
(Vile)	(Vil)
<ul indent="2" text="•"><li/>Attacks slow enemy movement and attack speeds by <d ref="(1 - Behavior,VileAcidSlowFlatAmount,Modification.MoveSpeedMultiplier) * 100"/>%.<li/>Heroic unit movement and attack speeds are slowed by <d ref="(1 - Behavior,VileAcidSlowFlatAmountHeroic,Modification.MoveSpeedMultiplier) * 100"/>%.</ul>	<ul indent="2" text="•"><li/>Los ataques ralentizan el movimiento enemigo y la velocidad de ataque un <d ref="(1 - Behavior,VileAcidSlowFlatAmount,Modification.MoveSpeedMultiplier) * 100"/>%.<li/>La velocidad de movimiento y de ataque de las unidades heroicas disminuye <d ref="(1 - Behavior,VileAcidSlowFlatAmountHeroic,Modification.MoveSpeedMultiplier) * 100"/>%.</ul>
Energizer	Energizador
Dragoon	Dragún
Infested Terran -	Terran infestado -
(Carrion)	(Carroña)
<ul indent="2" text="•"><li/>Spawns flying Locusts that can attack ground targets. <li/>Flying Locusts are faster and deal 50% more damage than ground Locusts, but they have 25% less life.</ul>	<ul indent="2" text="•"><li/>Engendra Langostas voladoras que pueden atacar objetivos terrestres. <li/>Las Langostas voladoras son más rápidas e infligen 50% más de daño que las Langostas terrestres, pero tienen un 25% menos de vida.</ul>
(Creeper)	(Furtivo)
<ul indent="2" text="•"><li/>Generates creep while burrowed or rooted.<li/>Can travel quickly to any location with creep by using Deep Tunnel.<li/>Deep Tunnel cooldown: 10 seconds.</ul>	<ul indent="2" text="•"><li/>Genera talo cuando está enterrado o arraigado.<li/>Puede viajar rápidamente a cualquier ubicación con talo por medio del Túnel profundo.<li/>Tiempo de recuperación de túnel profundo: 10 segundos.</ul>
(Noxious)	(Nocivo)
<ul indent="2" text="•"><li/>Emits Noxious Cloud that deals 5 damage per second to enemy ground units.<li/>Toxic Blast deals 20 damage to enemy ground units and structures.<li/>Toxic Blast cooldown: 10 seconds.</ul>	<ul indent="2" text="•"><li/>Emite una Nube nociva que inflige 5 de daño por segundo a las unidades terrestres enemigas.<li/>La Explosión tóxica inflige 20 de daño a las unidades terrestres y estructuras enemigas.<li/>Tiempo de recuperación de la Explosión tóxica: 10 segundos.</ul>
(Torrasque)	(Torrasque)
<ul indent="2" text="•"><li/>Enters a Chrysalis when killed. After a short period, is reborn as a new Ultralisk.<li/>Rebirth cooldown: 60 seconds.</ul>	<ul indent="2" text="•"><li/>Al morir, se transforma en una Crisálida. Tras un período breve, renace como un nuevo Ultralisco.<li/>Tiempo de recuperación de renacimiento: 60 segundos.</ul>
Destroyer	Destructor
Warhound	Can de guerra
Warp Prism (Tal'darim)	Prisma de transposición (Tal'darim)
Zeratul Warp Prism	Prisma de transposición de Zeratul
Sentinel	Vigía
Centurion	Centurión
(Raptor)	(Rapaz)
<ul indent="2" text="•"><li/>Leaps over obstacles and onto targets from range.<li/>Gains +2 damage, an increase of 40%.<li/>Can jump up and down cliffs.</ul>	<ul indent="2" text="•"><li/>Salta obstáculos o sobre los objetivos a distancia.<li/>Obtiene +2 de daño, con un incremento del 40%.<li/>Puede subir y bajar riscos.</ul>
(Swarmling)	(Hordezno)
<ul indent="2" text="•"><li/>Spawns in groups of three.<li/>Morphs almost instantly.</ul>	<ul indent="2" text="•"><li/>Se engendran en grupos de tres.<li/>Se transforma casi instantáneamente.</ul>
Take on the computer AI at Easy difficulty level.	Enfréntate a la IA de la computadora en el nivel de dificultad Fácil.
Co-op Night 2 Die	Coop - Night 2 Die
All settings may be customized.	Todas las configuraciones pueden personalizarse.
Custom	Personalizado
Co-op Very Easy	Cooperativo muy fácil
Take on the computer AI at Medium difficulty level.	Enfréntate a la IA de la computadora en el nivel de dificultad Intermedio.
Co-op Easy	Cooperativo fácil
Take on the computer AI at Hard difficulty level.	Enfréntate a la IA de la computadora en el nivel de dificultad Difícil.
Co-op Medium	Cooperativo intermedio
Take on the computer AI at Insane difficulty level.	Enfréntate a la IA de la computadora en el nivel de dificultad Locura.
Co-op Hard	Cooperativo difícil
Cannot target units that have recently been affected by Void Stasis	No puede utilizarse sobre objetivos recientemente afectados por Estasis del Vacío
Vile Stream	Torrente vil
Psionic Lightning	Relámpago psiónico
Apocalisk Air Attack	Apocalisco - Ataque aéreo
Apocalisk Blades	Apocalisco - Cuchillas
LB-10 Gatling Minigun	Minigun Gatling LB-10
Nemesis Missile Pod	Cápsula de misiles Némesis
Bile Bomb	Bomba de bilis
Bio Discharge	Biodescarga
Bite	Mordida
Hellfire Explosives	Explosivos Inferno
Phase Disruptor	Disruptor de fase
Incindiary Beam	Rayo incendiario
Psionic Shockwave	Onda de impacto psiónica
Bane Blades	Cuchillas malditas
