Amorphous Armorcloud	Zasłona amorficzna
Mutator Thermal Lances Fire Beam Large Initial CP	Mutator Thermal Lances Fire Beam Large Initial CP
Mutator Thermal Lances Fire Beam Large Search	Mutator Thermal Lances Fire Beam Large Search
Mutator Thermal Lances Fire Beam Search	Mutator Thermal Lances Fire Beam Search
Mutator Thermal Lances Fire Large Beam	Mutator Thermal Lances Fire Large Beam
Mutator Time Warp Apply Behavior	Mutator Time Warp Apply Behavior
Mutator Time Warp Create Persistent	Mutator Time Warp Create Persistent
Mutator Time Warp Damage Dummy	Mutator Time Warp Damage Dummy
Mutator Time Warp Growing Bubble Search Area	Mutator Time Warp Growing Bubble Search Area
Mutator Time Warp Initial CP	Mutator Time Warp Initial CP
Mutator Time Warp Search Area	Mutator Time Warp Search Area
Mutator Time Warp Search Area Impact Dummy	Mutator Time Warp Search Area Impact Dummy
TornadoAOESearch	TornadoAOESearch
TornadoAOESearchDamage	TornadoAOESearchDamage
TornadoAOESearchSet	TornadoAOESearchSet
MutatorTurkeyPeckDamage	MutatorTurkeyPeckDamage
MutatorTurkingPeckOfJudgementDamage	MutatorTurkingPeckOfJudgementDamage
MutatorVoidRiftSpawnLM	MutatorVoidRiftSpawnLM
MutatorVoidRiftSpawnLMImpactDummy	MutatorVoidRiftSpawnLMImpactDummy
Mutator Widow Mine Apply Animation	Mutator Widow Mine Apply Animation
Mutator Widow Mine Explode Direct	Mutator Widow Mine Explode Direct
Mutator Widow Mine Explode Set	Mutator Widow Mine Explode Set
Mutator Widow Mine Explode Splash	Mutator Widow Mine Explode Splash
Mutator Widow Mine Explode Splash Search	Mutator Widow Mine Explode Splash Search
Mutator Widow Mine	Mutator Widow Mine
Mutator Widow Mine LMAir	Mutator Widow Mine LMAir
Mutator Widow Mine LMSwitch	Mutator Widow Mine LMSwitch
Nemesis Missile Pod (Damage)	Nemesis Missile Pod (Damage)
Nemesis Missile Pod (Launch Missile)	Nemesis Missile Pod (Launch Missile)
Nemesis Missile Pod (Persistent)	Nemesis Missile Pod (Persistent)
New Symb Target	New Symb Target
New Symb Target Search	New Symb Target Search
Laser Damage	Laser Damage
Boom! Damage	Boom! Damage
Boom! Set	Boom! Set
NovaBoombotBurrowDelay	NovaBoombotBurrowDelay
NovaBoombotDeselectNovaDelay	NovaBoombotDeselectNovaDelay
NovaBoombotsKillCredit	NovaBoombotsKillCredit
NovaBoombotsTimedLifeExpireSet	NovaBoombotsTimedLifeExpireSet
NovaCombatSuitInitialSet	NovaCombatSuitInitialSet
Nova Coop Caster Advanced Optics Apply Behavior	Nova Coop Caster Advanced Optics Apply Behavior
Nova Coop Caster Advanced Optics Search	Nova Coop Caster Advanced Optics Search
Nova Coop Caster Defensive Matrix Apply Behavior	Nova Coop Caster Defensive Matrix Apply Behavior
Nova Coop Caster Defensive Matrix Search	Nova Coop Caster Defensive Matrix Search
Nova Coop Caster Nuke Damage	Nova Coop Caster Nuke Damage
Nova Coop Caster Nuke Detonate	Nova Coop Caster Nuke Detonate
Nova Coop Caster Nuke Persistent	Nova Coop Caster Nuke Persistent
NovaCoopCasterStunGrenadeABSet	NovaCoopCasterStunGrenadeABSet
Nova Coop Caster Stun Grenade Apply Behavior	Nova Coop Caster Stun Grenade Apply Behavior
Nova Coop Caster Stun Grenade Apply Behavior Slow	Nova Coop Caster Stun Grenade Apply Behavior Slow
Nova Coop Caster Stun Grenade Launch Missile	Nova Coop Caster Stun Grenade Launch Missile
Nova Coop Caster Stun Grenade Search	Nova Coop Caster Stun Grenade Search
NovaCoopCasterSummonOdin	NovaCoopCasterSummonOdin
NovaCoopDecoyTimedLife	NovaCoopDecoyTimedLife
NovaCreateBoomBotsBurrowOrder	NovaCreateBoomBotsBurrowOrder
NovaCreateBoomBotsIssueOrderSet	NovaCreateBoomBotsIssueOrderSet
NovaCreateBoomBotsMoveOrder	NovaCreateBoomBotsMoveOrder
NovaDefensiveMatrixDrone	NovaDefensiveMatrixDrone
NovaDoubleDamage	NovaDoubleDamage
Nova Full Energy	Nova Full Energy
Nova Griffin Bombing Run AB	Nova Griffin Bombing Run AB
Nova Griffin Bombing Run Create Strafer	Nova Griffin Bombing Run Create Strafer
Nova Griffin Bombing Run Create Targeter	Nova Griffin Bombing Run Create Targeter
Nova Griffin Bombing Run Damage	Nova Griffin Bombing Run Damage
Nova Griffin Bombing Run Delay CP	Nova Griffin Bombing Run Delay CP
Nova Griffin Bombing Run Despawn AB	Nova Griffin Bombing Run Despawn AB
Nova Griffin Bombing Run Dummy Search	Nova Griffin Bombing Run Dummy Search
Nova Griffin Bombing Run End Point	Nova Griffin Bombing Run End Point
Nova Griffin Bombing Run Execute CP	Nova Griffin Bombing Run Execute CP
Nova Griffin Bombing Run Execute Set	Nova Griffin Bombing Run Execute Set
Nova Griffin Bombing Run Initial CP	Nova Griffin Bombing Run Initial CP
Nova Griffin Bombing Run Initial Set	Nova Griffin Bombing Run Initial Set
Nova Griffin Bombing Run Order	Nova Griffin Bombing Run Order
Nova Griffin Bombing Run Random Point CP Right Side	Nova Griffin Bombing Run Random Point CP Right Side
Nova Griffin Bombing Run Random Point Set	Nova Griffin Bombing Run Random Point Set
Nova Griffin Bombing Run Remove Strafer	Nova Griffin Bombing Run Remove Strafer
Nova Griffin Bombing Run Search	Nova Griffin Bombing Run Search
Nova Griffin GCD	Nova Griffin GCD
NovaGriffinTransportCancelUnloadSearch	NovaGriffinTransportCancelUnloadSearch
NovaGriffinTransportTeleportGroundUnitSearch	NovaGriffinTransportTeleportGroundUnitSearch
NovaGriffinTransportTeleportGroundUnitsTP	NovaGriffinTransportTeleportGroundUnitsTP
NovaGriffinTransportUnitsLoadGroundUnitsAB	NovaGriffinTransportUnitsLoadGroundUnitsAB
NovaGriffinTransportUnitsLoadGroundUnitsSearch	NovaGriffinTransportUnitsLoadGroundUnitsSearch
NovaGriffinTransportUnloadUnitsDespawnDelayAB	NovaGriffinTransportUnloadUnitsDespawnDelayAB
NovaGriffinTransportUnloadUnitsDespawnDelayTimeOut	NovaGriffinTransportUnloadUnitsDespawnDelayTimeOut
Nova Griffin Transport Unload Units TP	Nova Griffin Transport Unload Units TP
NovaInvulnerability	NovaInvulnerability
Nova Odin AA Disable AB	Nova Odin AA Disable AB
Nova Odin AA Set	Nova Odin AA Set
Nova Odin Annihilate Damage	Nova Odin Annihilate Damage
Nova Odin Annihilate Initial Create Persistent	Nova Odin Annihilate Initial Create Persistent
Nova Odin Annihilate Search	Nova Odin Annihilate Search
NovaOdinCreationSet	NovaOdinCreationSet
NovaOdinTimedLife	NovaOdinTimedLife
NovaOdinUnderConstruction	NovaOdinUnderConstruction
Remove All Equipped Gadget	Remove All Equipped Gadget
Remove All Equipped Weapon	Remove All Equipped Weapon
NovaStealthSuitInitialSet	NovaStealthSuitInitialSet
Nova Unit Defensive Matrix Grant Charge	Nova Unit Defensive Matrix Grant Charge
Nova Unit Flash Bang Grant Charge	Nova Unit Flash Bang Grant Charge
Nova Unit Lockdown AB	Nova Unit Lockdown AB
Nova Unit Lockdown Grant Charge	Nova Unit Lockdown Grant Charge
Nova Unit Lockdown LM	Nova Unit Lockdown LM
Nova Unit Smoke Grenade AB	Nova Unit Smoke Grenade AB
Nova Unit Smoke Grenade CP	Nova Unit Smoke Grenade CP
Nova Unit Smoke Grenade Grant Charge	Nova Unit Smoke Grenade Grant Charge
Nova Unit Smoke Grenade Grant Charge CP	Nova Unit Smoke Grenade Grant Charge CP
Nova Unit Smoke Grenade LM	Nova Unit Smoke Grenade LM
Nova Unit Smoke Grenade Search	Nova Unit Smoke Grenade Search
Nuke Fast Persistent	Nuke Fast Persistent
NydusDestroyerBeamStartSet	NydusDestroyerBeamStartSet
ObserverTargetLockCPOrderValidate	ObserverTargetLockCPOrderValidate
ObserverTargetLockDP	ObserverTargetLockDP
Odin MK II (Create Persistent)	Odin MK II (Create Persistent)
Odin MKII AA (Create Persistent)	Odin MKII AA (Create Persistent)
Odin MK II AA (Damage)	Odin MK II AA (Damage)
Odin MK II AA (LaunchMissile)	Odin MK II AA (LaunchMissile)
Odin MK II Cancel Barrage	Odin MK II Cancel Barrage
Odin MK II	Odin MK II
Odin MK II Wreckage Abil	Odin MK II Wreckage Abil
On Death Controller Final Set	On Death Controller Final Set
On Death Kerrigan Econ Drop	On Death Kerrigan Econ Drop
On Death Kerrigan Econ Drop CP	On Death Kerrigan Econ Drop CP
On Death Kerrigan Econ Drop Switch	On Death Kerrigan Econ Drop Switch
On Death Vorazun Recall On Death 1HP	On Death Vorazun Recall On Death 1HP
Coop - On Death Vorazun Recall On Death AB	Coop - On Death Vorazun Recall On Death AB
On Death Vorazun Recall On Death Heal	On Death Vorazun Recall On Death Heal
On Death Vorazun Recall On Death Search	On Death Vorazun Recall On Death Search
On Death Vorazun Recall On Death Set	On Death Vorazun Recall On Death Set
On Death Vorazun Recall On Death Teleport	On Death Vorazun Recall On Death Teleport
On Death Zagara Broodling	On Death Zagara Broodling
On Death Zagara Broodling Switch	On Death Zagara Broodling Switch
Orbital Strike Slow AB	Orbital Strike Slow AB
Orbital Strike Stun AB	Orbital Strike Stun AB
Orbital Strike Stun Set	Orbital Strike Stun Set
Perdition Turret Unburrow Order	Perdition Turret Unburrow Order
PickupEnvelopeGas50	PickupEnvelopeGas50
PickupEnvelopeMinerals50	PickupEnvelopeMinerals50
Pickup Minerals 25 Set	Pickup Minerals 25 Set
Pickup Minerals 50	Pickup Minerals 50
Pickup Minerals 50 Set	Pickup Minerals 50 Set
Pit Alarak Life Regen Aura AB	Pit Alarak Life Regen Aura AB
Pit Alarak Life Regen Aura Restore	Pit Alarak Life Regen Aura Restore
Pit Alarak Shieldor Life Regen Set	Pit Alarak Shieldor Life Regen Set
Pit Malash Life Regen Aura Restore	Pit Malash Life Regen Aura Restore
Pit Malash Shield Regen Aura Restore	Pit Malash Shield Regen Aura Restore
Pit Malash Shieldor Life Regen Set	Pit Malash Shieldor Life Regen Set
Plague Death Force Remove Delay	Plague Death Force Remove Delay
PnPSingleTargetLockOnActorKeepAlivePersistent	PnPSingleTargetLockOnActorKeepAlivePersistent
PnPSingleTargetLockOnActorKeepAlivePersistentImpactDummy	PnPSingleTargetLockOnActorKeepAlivePersistentImpactDummy
PnPSingleTargetLockOnDamage	PnPSingleTargetLockOnDamage
PnPSingleTargetLockOnPersistent	PnPSingleTargetLockOnPersistent
PnPSingleTargetLockOnSearch	PnPSingleTargetLockOnSearch
PnPSingleTargetLockOnSecondaryPersistent	PnPSingleTargetLockOnSecondaryPersistent
Port To My Center	Port To My Center
Post Morph Overseer Heal Unity Barrier Set	Post Morph Overseer Heal Unity Barrier Set
Primal Slash Stun AB	Primal Slash Stun AB
Primal Slash Stun Search	Primal Slash Stun Search
ProphecyArtifactHintUnitModifyFacing	ProphecyArtifactHintUnitModifyFacing
ProphecyArtifactRevealCP	ProphecyArtifactRevealCP
ProphecyArtifactRevealFacing	ProphecyArtifactRevealFacing
ProphecyArtifactRevealSet	ProphecyArtifactRevealSet
Queen Broodling Escort Missile	Queen Broodling Escort Missile
Queen MP Improved Ensnare AB	Queen MP Improved Ensnare AB
QueenStukovSpawnBroodlings	QueenStukovSpawnBroodlings
Ravager Corrosive Bile Aoe CP	Ravager Corrosive Bile Aoe CP
Ravager Corrosive Bile Aoe Cursor Dummy	Ravager Corrosive Bile Aoe Cursor Dummy
Ravager Corrosive Bile Aoe Damage	Ravager Corrosive Bile Aoe Damage
Ravager Corrosive Bile Aoe Force Field Kill	Ravager Corrosive Bile Aoe Force Field Kill
Ravager Corrosive Bile Aoe Launch Down	Ravager Corrosive Bile Aoe Launch Down
Ravager Corrosive Bile Aoe Launch Set	Ravager Corrosive Bile Aoe Launch Set
Ravager Corrosive Bile Aoe Launch Up	Ravager Corrosive Bile Aoe Launch Up
Ravager Corrosive Bile Aoe Search	Ravager Corrosive Bile Aoe Search
Ravager Corrosive Bile Aoe Set	Ravager Corrosive Bile Aoe Set
Ravager Corrosive Bile Aoe Warning Dummy Damage	Ravager Corrosive Bile Aoe Warning Dummy Damage
Ravager Corrosive Bile Aoe Warning Dummy Search	Ravager Corrosive Bile Aoe Warning Dummy Search
RavenAnalyzeDP	RavenAnalyzeDP
RavenTargetLockCPOrderValidate	RavenTargetLockCPOrderValidate
RaynorBattlecruiserSwitch	RaynorBattlecruiserSwitch
Raynor Medic Safeguard Set	Raynor Medic Safeguard Set
Raynor Medic Safeguard AB	Raynor Medic Safeguard AB
Raynor Merc Veterancy AB	Raynor Merc Veterancy AB
Raynor Merc Veterancy Aura Switch	Raynor Merc Veterancy Aura Switch
Raynor Merc Veterancy Max Level Set	Raynor Merc Veterancy Max Level Set
RedirectPlacementRedirect	RedirectPlacementRedirect
RedirectPlacementStart	RedirectPlacementStart
Refresh Shared Upgrades	Refresh Shared Upgrades
RefundFullResource	RefundFullResource
RemoveAllDot	RemoveAllDot
RemoveAllDotOnSource	RemoveAllDotOnSource
RemoveAllSlow	RemoveAllSlow
RemoveAllStun	RemoveAllStun
RemoveMinerals5	RemoveMinerals5
RemoveVespene5	RemoveVespene5
Replenish Mines	Replenish Mines
Replenish Nano Constructor	Replenish Nano Constructor
Replenish Widow Mine Attack Charges	Replenish Widow Mine Attack Charges
ReturnMagazine	ReturnMagazine
Reveal Weakness Apply Behavior	Reveal Weakness Apply Behavior
Reveal Weakness Search	Reveal Weakness Search
SIBarracks Train Aberration CU	SIBarracks Train Aberration CU
SIBarracks Train Aberration Initial Set	SIBarracks Train Aberration Initial Set
SIBarracks Train Aberration RB	SIBarracks Train Aberration RB
SIBarracks Train Infested Civilian CU	SIBarracks Train Infested Civilian CU
SIBarracks Train Infested Civilian Initial Set	SIBarracks Train Infested Civilian Initial Set
SIBarracks Train Infested Civilian RB	SIBarracks Train Infested Civilian RB
SIBarracks Train Infested Marine CU	SIBarracks Train Infested Marine CU
SIBarracks Train Infested Marine Initial Set	SIBarracks Train Infested Marine Initial Set
SIBarracks Train Infested Marine RB	SIBarracks Train Infested Marine RB
SIBarracks Train Timed Life AB	SIBarracks Train Timed Life AB
SIBarracks Train Timed Life AB Infested Exploder	SIBarracks Train Timed Life AB Infested Exploder
SIBarracks Train Timed Life Expire Set	SIBarracks Train Timed Life Expire Set
SICivilianStructureSpawnCivilianGlobalTimer AB	SICivilianStructureSpawnCivilianGlobalTimer AB
SICivilianStructureSpawnCivilianGlobalTimerDummy CP	SICivilianStructureSpawnCivilianGlobalTimerDummy CP
SIClusterRockets	SIClusterRockets
SIClusterRocketsBurst Persistent	SIClusterRocketsBurst Persistent
SIClusterRocketsBurst PersistentDamageCP	SIClusterRocketsBurst PersistentDamageCP
SIClusterRocketsBurst PersistentDamageDelayCP	SIClusterRocketsBurst PersistentDamageDelayCP
SIClusterRocketsDamage	SIClusterRocketsDamage
SIClusterRocketsLeftDummy	SIClusterRocketsLeftDummy
SIClusterRocketsLeftLM	SIClusterRocketsLeftLM
SIClusterRocketsRightDummy	SIClusterRocketsRightDummy
SIClusterRocketsRightLM	SIClusterRocketsRightLM
SIInfestedBunkerCreation	SIInfestedBunkerCreation
SIInfestedCivilianDamage	SIInfestedCivilianDamage
SIInfestedMarine	SIInfestedMarine
SILiberatorCloud	SILiberatorCloud
SILiberatorSwarmFormDamageDirectAB	SILiberatorSwarmFormDamageDirectAB
SILiberatorSwarmFormDamageResistant	SILiberatorSwarmFormDamageResistant
SILiberatorSwarmFormDamageResistantRB	SILiberatorSwarmFormDamageResistantRB
SILiberatorSwarmFormFinalSet	SILiberatorSwarmFormFinalSet
SILiberatorSwarmFormFollowTarget	SILiberatorSwarmFormFollowTarget
SILiberatorSwarmFormInitialSet	SILiberatorSwarmFormInitialSet
SILiberatorSwarmFormPermanentAttackSet	SILiberatorSwarmFormPermanentAttackSet
SILiberatorSwarmFormPermanentCloseDistanceLM	SILiberatorSwarmFormPermanentCloseDistanceLM
SILiberatorSwarmFormPermanentDamagePrimary	SILiberatorSwarmFormPermanentDamagePrimary
SILiberatorSwarmFormPermanentDamagePrimarySet	SILiberatorSwarmFormPermanentDamagePrimarySet
SILiberatorSwarmFormPermanentDamageResistantAB	SILiberatorSwarmFormPermanentDamageResistantAB
SILiberatorSwarmFormPermanentDamageResistantRB	SILiberatorSwarmFormPermanentDamageResistantRB
SILiberatorSwarmFormPermanentDamageSearchAB	SILiberatorSwarmFormPermanentDamageSearchAB
SILiberatorSwarmFormPermanentDamageSplash	SILiberatorSwarmFormPermanentDamageSplash
SILiberatorSwarmFormPermanentDamageSplashSet	SILiberatorSwarmFormPermanentDamageSplashSet
SILiberatorSwarmFormPermanentDamageSwitch	SILiberatorSwarmFormPermanentDamageSwitch
SILiberatorSwarmFormPermanentDummyImpact	SILiberatorSwarmFormPermanentDummyImpact
SILiberatorSwarmFormPermanentDummySet	SILiberatorSwarmFormPermanentDummySet
SILiberatorSwarmFormPermanentFollowTargetAK	SILiberatorSwarmFormPermanentFollowTargetAK
SILiberatorSwarmFormPermanentImpactSet	SILiberatorSwarmFormPermanentImpactSet
SILiberatorSwarmFormPermanentLM	SILiberatorSwarmFormPermanentLM
SILiberatorSwarmFormPermanentSplashSearch	SILiberatorSwarmFormPermanentSplashSearch
SILiberatorSwarmFormPermanentTrackerAB	SILiberatorSwarmFormPermanentTrackerAB
SILiberatorSwarmFormReturnSetFacing	SILiberatorSwarmFormReturnSetFacing
SILiberatorSwarmFormStopFollow	SILiberatorSwarmFormStopFollow
SIStukovExplodeInfestedSwitch	SIStukovExplodeInfestedSwitch
SIStukovInfestStructureEnemyDisable	SIStukovInfestStructureEnemyDisable
SIStukovInfestStructureEnemyTarget	SIStukovInfestStructureEnemyTarget
SIStukovManaAuraReturnHalfMU	SIStukovManaAuraReturnHalfMU
SIStukovManaAuraReturnMU	SIStukovManaAuraReturnMU
SIStukovPlaceHordeRallyCP	SIStukovPlaceHordeRallyCP
SIVolatileInfested	SIVolatileInfested
SIWraithSnare	SIWraithSnare
SOABlind AB	SOABlind AB
SOABlind CP	SOABlind CP
SOABlind Iterate Transport	SOABlind Iterate Transport
SOABlind Search	SOABlind Search
SOABlind Set	SOABlind Set
SOABlind Structure AB	SOABlind Structure AB
SOABlind Structure Set	SOABlind Structure Set
SOABlind Switch	SOABlind Switch
SOAMap Wide Chrono AB	SOAMap Wide Chrono AB
SOAMap Wide Chrono Passive AB	SOAMap Wide Chrono Passive AB
SOAMap Wide Chrono Passive Search	SOAMap Wide Chrono Passive Search
SOAMapWideChronoPassiveTarget	SOAMapWideChronoPassiveTarget
SOAMap Wide Chrono Search	SOAMap Wide Chrono Search
SOAMothershipBlinkTeleportSearchMagazine	SOAMothershipBlinkTeleportSearchMagazine
SOAMothershipLineAttackAutoOnCheck	SOAMothershipLineAttackAutoOnCheck
SOAMothershipv4CreationSet	SOAMothershipv4CreationSet
SOAMothershipv4Select	SOAMothershipv4Select
SOAMothershipv4WarpAwaySet	SOAMothershipv4WarpAwaySet
SOA Orbital Strike Damage Set	SOA Orbital Strike Damage Set
SOAPurifier Beam Damage Set	SOAPurifier Beam Damage Set
SOAPylon Power Ally CU	SOAPylon Power Ally CU
SOAPylon Power Ally Create Persistent	SOAPylon Power Ally Create Persistent
SOAPylon Power Ally Destroy Persistent	SOAPylon Power Ally Destroy Persistent
SOAPylon Power Ally RU	SOAPylon Power Ally RU
SOAPylon Power Ally Search	SOAPylon Power Ally Search
SOAPylon Power Spawn Set	SOAPylon Power Spawn Set
SOARecall On Death Assign Rally Issue Order	SOARecall On Death Assign Rally Issue Order
SOARecall On Death Cast AB	SOARecall On Death Cast AB
SOARecall On Death Cast Search	SOARecall On Death Cast Search
SOARecall On Death Cast Set	SOARecall On Death Cast Set
SOARecall On Death Create Precursor	SOARecall On Death Create Precursor
SOARecall On Death Destroy Precusor	SOARecall On Death Destroy Precusor
SOARecall On Death Heal	SOARecall On Death Heal
SOARecall On Death Recalling AB	SOARecall On Death Recalling AB
SOARecall On Death Recalling Behavior Set	SOARecall On Death Recalling Behavior Set
SOARecall On Death Recently Recalled AB	SOARecall On Death Recently Recalled AB
SOARecall On Death Search	SOARecall On Death Search
SOARecall On Death Set	SOARecall On Death Set
SOARecall On Death Teleport	SOARecall On Death Teleport
SOARecall On Death Teleport Dummy CP	SOARecall On Death Teleport Dummy CP
SOARecall On Death Teleport Set	SOARecall On Death Teleport Set
SOASummon Colarion CU	SOASummon Colarion CU
SOASummon Fenix Active AB	SOASummon Fenix Active AB
SOASummon Fenix Active RB	SOASummon Fenix Active RB
SOASummon Fenix Arbiter Active AB	SOASummon Fenix Arbiter Active AB
