Amorphous Armorcloud	Blindagem Nebulosa Amorfa
Attack Wave	Onda de ataque
~TIMER~	~TIMER~
<c val="FF9800">Zagara has died. You must mutate a Hatchery to revive her.</c>	<c val="FF9800">Zagara morreu. É preciso transmutar uma Incubadora para ressuscitá-la.</c>
Fenix has been revived at your Nexus.	Fenix ressuscitou no seu Nexus.
/	/
<c val="FF9800">Alarak has been revived at your Nexus.</c>	<c val="FF9800">Alarak ressuscitou no seu Nexus.</c>
AI Units will attack spawned units as normal units. (Current Behavior)	Unidades da I.A. atacam unidades geradas como unidades normais. (Comportamento atual)
<c val="FF9800">Talandar warping in.</c>	<c val="FF9800">Talandar transdobrando.</c>
!	!
Attempting to set appropriate Brutal+ difficulty level...	Tentando definir nível de dificuldade Brutal+ correto...
No valid Zeratul Artifact Placement found. Please bug this!	Nenhum local válido para o posicionamento do Artefato de Zeratul encontrado. Reporte este bug!
Days Taken to Complete Mission:	Dias para concluir a missão:
+	+
Choose Beam Location	Escolha o local do feixe
Resources Used exceeds Resources Total in CoopAI_ConstructAttackWave	Recursos Usados excedem Total de Recursos em CoopAI_ConstructAttackWave
~NAME~	~NAME~
{Siege Mode} -- {In Siege Mode, Siege Tanks have very long range and inflict area damage.}	{Modo Agressivo} - {No Modo Agressivo, os Tanques de Cerco ganham um longo alcance e causam dano de área.}
Proceeding with Brutal+ difficulty setup...	Prosseguindo com configuração de dificuldade Brutal+...
Retry mode detected. P1 had a Mutator Retry Index in slot 1.	Modo de nova tentativa detectado. J1 tinha um índice de nova tentativa do mutador na posição 1.
Acceptable commands are "on", "off" or "random" after -TargetSpawners cheat	Comandos aceitáveis são "on", "off" ou "random" após código -TargetSpawners
<c val="FF9800">Zeratul is ready for battle.</c>	<c val="FF9800">Zeratul está pronto para a batalha.</c>
You completed the objective.	Você completou o objetivo.
Coop performance logging enabled.	Registro de desempenho cooperativo ativado.
Failed to fill out an attack wave with random selection	Não foi possível preencher uma onda de ataque com seleção aleatória
Target Locations for Orbital Strike	Escolha os locais-alvo do Ataque Orbital
Here is where the Artifact is hidden. I must go to this location and search again to reveal it.	O Artefato está escondido aqui. Tenho que ir para o local e procurar de novo para revelá-lo.
~GOAL~	~GOAL~
{Kerrigan is killed}	{Kerrigan é morta}
<c val="FF9800">Solarite Dragoon Suit has been destroyed.</c>	<c val="FF9800">O Traje Dragonte de Solarita foi destruído.</c>
<c val="FF9800">Kerrigan is ready for battle.</c>	<c val="FF9800">Kerrigan está pronta para a batalha.</c>
<c val="FF9800">Dehaka is ready for battle.</c>	<c val="FF9800">Dehaka está pronto para a batalha.</c>
Cooldowns Reset for Player	Recargas zeradas para o jogador
All of your ally's structures have been destroyed.	Todas as estruturas do seu aliado foram destruídas.
Bombing Run Starting Location	Local de Início da Passagem de Bombardeio
<s val="@@StandardTooltipHeader">Drakken Laser Drill (Damaged)</s><n/>The Drakken Laser Drill is being repaired	<s val="@@StandardTooltipHeader">Furadeira Laser Drakken (Danificada)</s><n/>A Furadeira Laser Drakken está sendo consertada
CoopPerfTest	CoopPerfTest
<s val="@@StandardTooltipHeader">Drakken Laser Drill (Unfinished)</s><n/>The Drakken Laser Drill is under construction	<s val="@@StandardTooltipHeader">Furadeira Laser Drakken (Inacabada)</s><n/>A Furadeira Laser Drakken está em construção
<c val="FF9800">Alarak is ready for battle.</c>	<c val="FF9800">Alarak está pronto para a batalha.</c>
Only you can pick this up	Só você pode coletar isso
Can't revive that Outlaw.	Esse fora da lei não pode ser ressuscitado.
<c val="FF9800">Fenix has died. You must warp in a Nexus to revive him.</c>	<c val="FF9800">Fenix morreu. É preciso transdobrar um Nexus para ressuscitá-lo.</c>
<c val="FF9800">Dehaka has died. You must build a Primal Hive to revive him.</c>	<c val="FF9800">Dehaka morreu. É preciso construir uma Colmeia Primeva para ressuscitá-lo.</c>
Select Graviton Bomb Locations	Selecionar locais de Bomba Gráviton
<c val="FF9800">Nova has died. You must build or land a Command Center to revive her.</c>	<c val="FF9800">Nova morreu. É preciso construir ou pousar uma Central de Comando para ressuscitá-la.</c>
Creating a random mutation.	Criando uma mutação aleatória.
Resource Pickup	Coleta de Recursos
{Siege Tank} -- You may now build a {Siege Tank} from the {Factory}.	{Tanque de cerco} - Agora você pode construir o {Tanque de cerco} na {Fábrica}.
~CUSTOM~	~CUSTOM~
Initializing game	Iniciando partida
Choose Bombing Run Direction	Escolher direção da Passagem de Bombardeio
Choose Fleet Direction	Escolher Direção da Frota
Special Text	Texto especial
Zeratul	Zeratul
<c val="FF9800">Cybros Arbiter Suit has been destroyed.</c>	<c val="FF9800">O Traje de Blindagem Mediadora Cybros foi destruído.</c>
<s val="@@WorldTeachingTooltipHeader">Drakken Laser Drill</s><n/>Select to upgrade or use abilities	<s val="@@WorldTeachingTooltipHeader">Furadeira Laser Drakken</s><n/>Selecione para aprimorar ou usar habilidades
<c val="FF0000">For QA Tester: If you see this line, please save this replay and contact the tech designer. This isn't a bug, but we need this replay to fix things.</c>	<c val="FF0000">Para o teste de qualidade: se estiver vendo esta linha, salve o replay e entre em contato com o designer de tecnologia. Isso não é um bug, mas precisamos do replay para acertar coisas.</c>
Choose Solar Lance Direction	Escolha a Direção da Lança Solar
Unable to add a wave unit ping group, may need to increase max ping count.	Incapaz de acrescentar grupo de ping para onda de unidades, talvez precise aumentar contagem máxima de ping.
<c val="FF9800">Zagara has been revived at your Hatchery.</c>	<c val="FF9800">Zagara ressuscitou em sua Incubadora.</c>
Debug: Override pack found and active.	Depuração: Pacote de substituição encontrado e ativo.
Target Spawner flag set randomly	Indicador de Gerador de Alvo configurado aleatoriamente
Fleet Starting Location	Local de Partida da Frota
The Hyperion	Hipérion
Ran out of CoopAI upgrade slots, need to increase the trigger constant.	Esgotaram-se os espaços de aprimoramento CoopIA, precisa aumentar a constante do gatilho.
TEST	TESTAR
<c val="FF9800">Zagara is ready for battle.</c>	<c val="FF9800">Zagara está pronta para a batalha.</c>
Initializing Brutal+ difficulty settings...	Inicializando configurações da dificuldade Brutal+...
<s val="ModCenterSize32Bold">DEBUG</s>	<s val="ModCenterSize32Bold">DEPURAR</s>
<s val="@@WorldTeachingTooltipHeader">Dehaka's Den</s><n/>Select to revive Dehaka	<s val="@@WorldTeachingTooltipHeader">Covil de Dehaka</s><n/>Selecione para reviver Dehaka
AI Units should try to attack unit spawners over the units they spawn. (New Behavior)	Unidades de I.A. tentarão atacar geradores de unidades, e não as unidades geradas por eles. (Novo Comportamento)
{Zerutal is killed}	{Zeratul morre}
~CURRENT~	~CURRENT~
Retry mode not detected. P1 did not have a positive Mutator Retry Index in slot 1.	Modo de nova tentativa não detectado. J1 não tinha um índice de nova tentativa do mutador positivo na posição 1.
Solar Lance Starting Location	Posição inicial da Lança Solar
<c val="FF9800">Praetor Armor Suit has been destroyed.</c>	<c val="FF9800">O Traje de Blindagem de Pretor foi destruído.</c>
bfg	bfg
Candy Remaining	Doces Restantes
Infested Turkeys are coming for your base!	Perus Infestados a caminho da sua base!
AMON IS STEALING!	AMON ESTÁ ROUBANDO!
YOUR GIFT:<n/>An Archangel!	SEU PRESENTE:<n/>Um Arcanjo!
AMON'S GIFT:<n/>Overcharged Shuttles!	PRESENTE DE AMON:<n/>Ônibus Espaciais com Sobrecarga!
AMON'S GIFT:<n/>A Temporary Mutator!	PRESENTE DE AMON:<n/>Um Mutador temporário!
YOUR GIFT:<n/>Vespene rain!	SEU PRESENTE:<n/>Chuva de gás vespeno!
AMON'S GIFT:<n/>Scourge!	PRESENTE DE AMON:<n/>Flagelo!
YOUR GIFT:<n/>A Scout!	SEU PRESENTE:<n/>Um Batedor!
Your units are starving.  Find food or they'll die!	Suas unidades estão famintas. Encontre alimento, senão elas morrerão!
Claiming	Tomando
YOUR GIFT:<n/>MULE party!	SEU PRESENTE:<n/>Festa de MULEs!
NOT GOOD	NADA BOM
Amon is stealing the gift!<n/>What a jerk!	Amon está roubando o presente!<n/>Que imbecil!
Error: Progress completed on gift but not claimed	Erro: Progresso do presente concluído, mas não tomado
ERROR: Invalid corpse target for reanimator in CT_ReanimateUsed	ERRO: Alvo cadáver inválido para reanimador em CT_ReanimateUsed
YOUR GIFT:<n/>A HERC!	SEU PRESENTE:<n/>Um HERC!
YOUR GIFT:<n/>EVERYTHING IS FREE! (10s)	SEU PRESENTE:<n/>TUDO É DE GRAÇA! (10 s)
AMON'S GIFT:<n/>A KILL BOT!	PRESENTE DE AMON:<n/>UM ROBÔ DA MORTE!
Gift	Presente
YOUR GIFT:<n/>The Naughty List has been cleared!	SEU PRESENTE:<n/>A Lista dos Malvados foi apagada!
Index is too high, pick a smaller number.	Índice muito alto, escolha um número menor.
Hybrid Immortal	Híbrido Imortal
Angry Turkey	Peru Furioso
YOUR GIFT:<n/>Healing!	SEU PRESENTE:<n/>Cura!
YOUR GIFT:<n/>A Queen!	SEU PRESENTE:<n/>Uma Rainha!
Boom Bot	Robomba
Propagator	Propagador
ERROR: Invalid corpse unit type for reanimator in CT_ReanimateUsed	ERRO: Tipo de unidade cadáver inválida para reanimador em CT_ReanimateUsed
AMON'S GIFT:<n/>Banelings!	PRESENTE DE AMON:<n/>Tatus-bomba!
YOUR GIFT:<n/>Chrono Wave!	SEU PRESENTE:<n/>Onda Temporal!
AMON'S GIFT:<n/>Hybrid!	PRESENTE DE AMON:<n/>Híbrido!
AMON'S GIFT:<n/>Shrink Wave!	PRESENTE DE AMON:<n/>Onda de Encolhimento!
AMON'S GIFT:<n/>Hidden Threats!	PRESENTE DE AMON:<n/>Ameaças ocultas!
Load bank data	Carregar dados de banco
No Map	Não Há Mapa
NYI	NYI
Co-op Missions are unavailable offline.	Missões Cooperativas estão indisponíveis offline
Enable	Enable
End game options	Opções de fim de jogo
All perks un-applied	Todas as vantagens não aplicadas
<hour/>:<min2/>:<sec2/>	<hour/>:<min2/>:<sec2/>
XP multiplier set back to standard.	Multiplicador de EXP de volta ao padrão.
<n/><c val="AAAAAA">(Bonus experience)</c>	<n/><c val="AAAAAA">(Experiência bônus)</c>
Load campaign bank	Carregar bancos de campanha
Event parameter index is out of bound.	Event parameter index is out of bound.
Disable	Disable
<min2/>:<sec2/>	<min2/>:<sec2/>
UI options	Opções de IU
Warp in additional <c val="0088FF">Pylon</c>s to increase your supply.<n/><n/>Supply allows you to create more units.	Transdobre mais <c val="0088FF">Pilares Energéticos</c> para aumentar seus suprimentos.<n/><n/>Os suprimentos permitem que você crie mais unidades.
<s val="ModLeftSize16Bold">Respawns In:</s>	<s val="ModLeftSize16Bold">Respawns In:</s>
Set Wave Timer Window Icon Tooltip: Invalid window, might have been destroyed.	Definir dica de tela da janela cronômetro de onda: janela inválida, deve ter sido destruída.
Unit Unlock	Desbloqueio de unidade
Your ally is ready!	Seu aliado está pronto!
OK	OK
OFF	Não
(DEBUG) Only player 1 can do this.  Sorry!	(DEPURAR) Só o Jogador 1 pode fazer isso. Desculpe!
ALLY LEFT GAME	ALIADO ABANDONOU PARTIDA
Your ally has LEFT the game!	Seu aliado ABANDONOU a partida!
VICTORY!	VITÓRIA!
Stop Pitch	Tom de parada
Hero index out of bounds. Increase max hero count.	Índice de herói fora dos limites. Aumenta o número máximo de heróis.
Prevented the mission from assigning a unit to the secondary hero panel -- reserved by commander prestige	Impediu a missão de atribuir uma unidade ao painel de herói secundário -- reservada pelo prestígio de comandante
Back	Voltar
The game speed cannot be modified when Brutal difficulty is selected.	A velocidade do jogo não pode ser modificada quando a dificuldade Brutal é selecionada.
Select Location	Selecionar localização
Only the party leader can start the game.	Somente o líder da equipe pode iniciar o jogo.
ERROR: Maximum wave timer windows reached!	ERRO: As janelas cronômetro da onda atingiram o limite!
Destroy Wave Timer Window: Invalid window, might have been destroyed.	Destruir janela cronômetro de onda: janela inválida, deve ter sido destruída.
Your ally has not readied	Seu aliado não está pronto
Movie capture mode disabled.	Modo de captura de filme desativado.
(DEBUG) No random mutation	(DEPURAR) Sem mutação aleatória
Play Pitch	Reproduzir tom
(DEBUG) This cheat must be used during commander select.	(DEPURAR) Este código deve ser usado durante a seleção de comandante.
<k val="HeroSelect1"/>	<k val="HeroSelect1"/>
Boss	Chefe
No Challenge	Sem Desafio
Select All Armies (F2)	Selecionar todos os exércitos (F2)
Travel	Viajar
Set Wave Timer Window Icon: Invalid window, might have been destroyed.	Definir janela cronômetro de onda: janela inválida, deve ter sido destruída.
Party Leader Left	O Líder da Equipe saiu
DEFEAT	DERROTA
<k val="HeroSelect0"/>	<k val="HeroSelect0"/>
Movie capture mode enabled.	Modo de captura de filme ativado.
The party leader has left and the game will now end.	O líder da equipe saiu e o jogo será encerrado.
Only the party leader can modify game speed.	Somente o líder da equipe pode modificar a velocidade do jogo.
Warning: Only one Bar may be created per Unit. Original bar has been deleted.	Aviso: Só se pode criar uma barra por unidade. A barra original foi excluída.
Infested Terran	Terrano infestado
Primal Zerg	Zerg Primevo
Terran Horner	Horner Terrano
Terran Tychus	Tychus Terrano
Clolarion must have fewer than 2 Interdictors	Clolárion precisa ter menos de 2 Interditores
Choice Weapon in Ghost Academy.	Escolha de Arma na Academia Fantasma.
Purchase all of Nux's other gear from the Fixers' Safehouse	Comprar todos os outros equipamentos de Nux no Abrigo dos Reparadores
Warbringer's A.I. Personality Downloaded at Purifier Conclave	Personalidade I.A. de Armipotente baixada no Conclave dos Purificadores
Choice Gadget in Engineer Bay.	Escolha de Equipamento no Polo de Engenharia.
Research weapons at the Ghost Academy.	Pesquisar armas na Academia Fantasma.
Purchase all of Rattlesnake's other gear from the Muscle Armory	Comprar todos os outros equipamentos de Cascavel no Arsenal dos Músculos
Purchase all of Blaze's other gear from the Muscle Armory	Comprar todos os outros equipamentos de Blaze no Arsenal dos Músculos
Purchase all of Cannonball's other gear from the Muscle Armory	Comprar todos os outros equipamentos de Bala de Canhão no Arsenal dos Músculos
Purchase all of Tychus' other gear from the Gunslingers' Hideout	Comprar todos os outros equipamentos de Tychus no Esconderijo dos Atiradores
Purchase all of Sirius' other gear from the Gunslingers' Hideout	Comprar todos os outros equipamentos de Sirius no Esconderijo dos Atiradores
Purchase all of Vega's other gear from the Fixers' Safehouse	Comprar todos os outros equipamentos de Vega no Abrigo dos Reparadores
Purchase all of Crooked Sam's other gear from the Gunslingers' Hideout	Comprar todos os outros equipamentos de Sam 171 no Esconderijo dos Atiradores
Purchase all of Lt. Nikara's other gear from the Fixers' Safehouse	Comprar todos os outros equipamentos da Ten. Nikara no Abrigo dos Reparadores
Research gadgets at the Ghost Academy.	Pesquisar dispositivos na Academia Fantasma
No Rival Pack Leader	Sem Líder de Matilha Rival
Nova recovering in stasis	Nova se recupera em estase
Drone Hangar Installed	Hangar de Drones instalado
[PH] War Hound Jr. Near by.	Cão de Guerra Jr. por perto.
Hydralisk Den	Covil de Hidralisca
Assault Galleon	Galeão de Ataque
Primal Warden	Guardião Primevo
Primal Lair	Antro Primevo
Roach Warren	Toca de Barata
Spire	Pináculo
Joeyray's Bar	Bar de Joeyray
Fleet Beacon	Laboratório avançado
Greater Spire	Grande Pináculo
Build Nuke at the Ghost Academy	Construir Arma nuclear na Academia fantasma
Must be Rooted	Precisa estar enraizada
Infested Engineering Bay	Polo de Engenharia Infestado
[PH]Odin Platform	Plataforma da Odin
Research 330mm Barrage Cannon at the Factory Tech Lab	Pesquisar Canhões de Barragem de 330 mm no Laboratório técnico da Fábrica
Evolve Bio-Mechanical Transfusion at the Evolution Chamber	Evoluir Transfusão Biomecânica na Câmara Evolutiva
Evolve Deep Tunnel at the Infestation Pit	Evoluir Túnel Profundo no Fosso de Infestação
Evolve Protective Cover at the Evolution Chamber	Evoluir Carapaça Protetora na Câmara Evolutiva
Research Psionic Projection at the Twilight Council	Pesquisar Projeção Psiônica no Concílio do Crepúsculo
