Amorphous Armorcloud	Protezione informe
Void Shard ACDeath Grip Initial Set	Void Shard ACDeath Grip Initial Set
Void Shard ACDeath Grip Kill	Void Shard ACDeath Grip Kill
Void Shard ACRepulser Field Search Area	Void Shard ACRepulser Field Search Area
Void Shard ACRepulser Field Set	Void Shard ACRepulser Field Set
Void Shard ACShockwave Create Persistent	Void Shard ACShockwave Create Persistent
Void Shard ACShockwave Damage	Void Shard ACShockwave Damage
Void Shard ACShockwave Search	Void Shard ACShockwave Search
Void Shard ACUnstable Energy Create Unit	Void Shard ACUnstable Energy Create Unit
Void Shard ACUnstable Energy Damage Do	Void Shard ACUnstable Energy Damage Do
Void Shard ACUnstable Energy Initial Damage	Void Shard ACUnstable Energy Initial Damage
Void Shard ACUnstable Energy Search	Void Shard ACUnstable Energy Search
Void Shard ACUnstable Energy Search Do	Void Shard ACUnstable Energy Search Do
Void Shard ACUnstable Energy Set	Void Shard ACUnstable Energy Set
Void Shard ACUnstable Energy Spawn Effect	Void Shard ACUnstable Energy Spawn Effect
Void Shard ACVoid Zone Impact ABSet	Void Shard ACVoid Zone Impact ABSet
Void Shard ACVoid Zone Impact Root Damage	Void Shard ACVoid Zone Impact Root Damage
Void Shard ACVoid Zone Impact Root Stun	Void Shard ACVoid Zone Impact Root Stun
Void Shard ACVoid Zone Root Damage	Void Shard ACVoid Zone Root Damage
Void Shard ACVoid Zone Search	Void Shard ACVoid Zone Search
Void Sliver AC Unstable Energy CU	Void Sliver AC Unstable Energy CU
Void Sliver AC Unstable Energy Initial Damage	Void Sliver AC Unstable Energy Initial Damage
Void Sliver AC Unstable Energy Search	Void Sliver AC Unstable Energy Search
Void Sliver AC Unstable Energy Set	Void Sliver AC Unstable Energy Set
Void Sliver AC Unstable Energy Spawn Effect	Void Sliver AC Unstable Energy Spawn Effect
Void Stalker Blink Apply Shield Restore	Void Stalker Blink Apply Shield Restore
Void Stasis Cooldown AB	Void Stasis Cooldown AB
Ground Missile Damage	Ground Missile Damage
Ground Missile Launch	Ground Missile Launch
Ground Missile Volley Create Persistent Delay	Ground Missile Volley Create Persistent Delay
Ground Missile Volley Persistent	Ground Missile Volley Persistent
Void Zealot Shadow Charge Search Impact Set	Void Zealot Shadow Charge Search Impact Set
VoidZealotShadowChargeSelfBuff	VoidZealotShadowChargeSelfBuff
Volatile Burst Building On	Volatile Burst Building On
Vorazun Cloak Damage Boost AB	Vorazun Cloak Damage Boost AB
VorazunGatewayHangarLink	VorazunGatewayHangarLink
VorazunMothershipMiningBeamAB	VorazunMothershipMiningBeamAB
VorazunMothershipMiningBeamCP	VorazunMothershipMiningBeamCP
VorazunMothershipMiningBeamCountAB	VorazunMothershipMiningBeamCountAB
VorazunMothershipMiningBeamInitialSetAB	VorazunMothershipMiningBeamInitialSetAB
VorazunMothershipMiningBeamMaxCountAB	VorazunMothershipMiningBeamMaxCountAB
VorazunMothershipMiningBeamMaxCountRB	VorazunMothershipMiningBeamMaxCountRB
VorazunMothershipMiningBeamMinerals5	VorazunMothershipMiningBeamMinerals5
VorazunMothershipMiningBeamMineralsSet	VorazunMothershipMiningBeamMineralsSet
VorazunMothershipMiningBeamSearch	VorazunMothershipMiningBeamSearch
VorazunMothershipVespeneBeamAB	VorazunMothershipVespeneBeamAB
VorazunMothershipVespeneBeamCP	VorazunMothershipVespeneBeamCP
VorazunMothershipVespeneBeamCountAB	VorazunMothershipVespeneBeamCountAB
VorazunMothershipVespeneBeamInitialSetAB	VorazunMothershipVespeneBeamInitialSetAB
VorazunMothershipVespeneBeamMaxCountAB	VorazunMothershipVespeneBeamMaxCountAB
VorazunMothershipVespeneBeamMaxCountRB	VorazunMothershipVespeneBeamMaxCountRB
VorazunMothershipVespeneBeamSearch	VorazunMothershipVespeneBeamSearch
VorazunMothershipVespeneBeamVespene5	VorazunMothershipVespeneBeamVespene5
VorazunMothershipVespeneBeamVespeneSet	VorazunMothershipVespeneBeamVespeneSet
VorazunRoboticsFacilityHangarLink	VorazunRoboticsFacilityHangarLink
VorazunStargateHangarLink	VorazunStargateHangarLink
Vulture Merc Veterancy Aura AB	Vulture Merc Veterancy Aura AB
Warbot A Initial Set	Warbot A Initial Set
Warbot A Issue Order	Warbot A Issue Order
Warbot A Remove	Warbot A Remove
Warbot B Initial Set	Warbot B Initial Set
Warbot B Remove	Warbot B Remove
Warbot C Initial Set	Warbot C Initial Set
Warbot C Remove	Warbot C Remove
Warbot Dummy Weapon	Warbot Dummy Weapon
Warbot Spawn Set	Warbot Spawn Set
WarbotWeaponDisableAB	WarbotWeaponDisableAB
Wild Mutation Search	Wild Mutation Search
Wild Mutation Set	Wild Mutation Set
YoinkMarker	YoinkMarker
Zagara Void Coop Aberration Baneling Incubation Birth Height Birth AB	Zagara Void Coop Aberration Baneling Incubation Birth Height Birth AB
Zagara Void Coop Aberration Baneling Incubation Birth Height Birth Set	Zagara Void Coop Aberration Baneling Incubation Birth Height Birth Set
Zagara Void Coop Aberration Baneling Incubation CU	Zagara Void Coop Aberration Baneling Incubation CU
Zagara Void Coop Aberration Baneling Incubation Set	Zagara Void Coop Aberration Baneling Incubation Set
Zagara Void Coop Aberration Baneling Incubation Switch	Zagara Void Coop Aberration Baneling Incubation Switch
Zagara Void Coop Aberration Splitterling Incubation CU	Zagara Void Coop Aberration Splitterling Incubation CU
Zagara Baneling Barrage Force Field Explode Search Set	Zagara Baneling Barrage Force Field Explode Search Set
Zagara Baneling Barrage Force Field Scan	Zagara Baneling Barrage Force Field Scan
Zagara Baneling Barrage Force Field Scan Persistent	Zagara Baneling Barrage Force Field Scan Persistent
Zagara Baneling Barrage Force Field Scan Persistent Destroy	Zagara Baneling Barrage Force Field Scan Persistent Destroy
Zagara Baneling Barrage Unpathable Scan Persistent Destroy	Zagara Baneling Barrage Unpathable Scan Persistent Destroy
ZagaraVoidCoopEnvenomedSpines	ZagaraVoidCoopEnvenomedSpines
Zagara Void Coop Mass Frenzy AB	Zagara Void Coop Mass Frenzy AB
Zagara Void Coop Mass Frenzy Iterate Transport	Zagara Void Coop Mass Frenzy Iterate Transport
Zagara Void Coop Mass Frenzy Search	Zagara Void Coop Mass Frenzy Search
Zagara Void Coop Mass Frenzy Set	Zagara Void Coop Mass Frenzy Set
Zagara Void Coop Mass Roachling Drop Search	Zagara Void Coop Mass Roachling Drop Search
Zagara Void Coop Infested Drop CP	Zagara Void Coop Infested Drop CP
ZeratulArtifactRevealBeam	ZeratulArtifactRevealBeam
Zeratul Coop AA Damage	Zeratul Coop AA Damage
Zeratul Damage (AC Hero)	Zeratul Damage (AC Hero)
ZeratulDarkTemplarRetreatBlinkTrigger	ZeratulDarkTemplarRetreatBlinkTrigger
ZeratulDarkTemplarRetreatCooldownAB	ZeratulDarkTemplarRetreatCooldownAB
ZeratulDarkTemplarRetreatRegenTick	ZeratulDarkTemplarRetreatRegenTick
ZeratulDarkTemplarRetreatSet	ZeratulDarkTemplarRetreatSet
ZeratulDarkTemplarRetreatSourceApplyTempInvulnerable	ZeratulDarkTemplarRetreatSourceApplyTempInvulnerable
ZeratulDarkTemplarStasisAB	ZeratulDarkTemplarStasisAB
ZeratulDarkTemplarStasisHeal	ZeratulDarkTemplarStasisHeal
Dark Warp Prism Cloak AB	Dark Warp Prism Cloak AB
Dark Warp Prism Cloak Search	Dark Warp Prism Cloak Search
Dark Warp Prism Cloak Set	Dark Warp Prism Cloak Set
Dark Warp Prism Recall Initial Set	Dark Warp Prism Recall Initial Set
Dark Warp Prism Recall Magazine Iterate	Dark Warp Prism Recall Magazine Iterate
Dark Warp Prism Recall Post Recall AB	Dark Warp Prism Recall Post Recall AB
Dark Warp Prism Recall Pre Recall AB	Dark Warp Prism Recall Pre Recall AB
Dark Warp Prism Recall Search	Dark Warp Prism Recall Search
Dark Warp Prism Recall Set	Dark Warp Prism Recall Set
Dark Warp Prism Recall Teleport	Dark Warp Prism Recall Teleport
ZeratulDisruptorDummyWeapon	ZeratulDisruptorDummyWeapon
ZeratulEntropicBlastCyanImpactCUSpawner	ZeratulEntropicBlastCyanImpactCUSpawner
ZeratulEntropicBlastCyanImpactSpawnMU	ZeratulEntropicBlastCyanImpactSpawnMU
ZeratulEntropicBlastCyanImpactSpawnSet	ZeratulEntropicBlastCyanImpactSpawnSet
ZeratulPhaseCannonProjectionCancel	ZeratulPhaseCannonProjectionCancel
ZeratulPhaseCannonWarpCU	ZeratulPhaseCannonWarpCU
Photon Cannon (Launch Missile)	Photon Cannon (Launch Missile)
ZeratulPhotonCannonProjectionCountdown	ZeratulPhotonCannonProjectionCountdown
ZeratulPhotonCannonProjectionRB	ZeratulPhotonCannonProjectionRB
ZeratulPhotonCannonProjectionTimedLifeFateDummy	ZeratulPhotonCannonProjectionTimedLifeFateDummy
Photon Cannon (Damage)	Photon Cannon (Damage)
ZeratulPurificationNovaSmallOrbSearchImpactDamage	ZeratulPurificationNovaSmallOrbSearchImpactDamage
ZeratulPurificationNovaTargetedAutoCastOrder	ZeratulPurificationNovaTargetedAutoCastOrder
ZeratulPurificationNovaTargettedCasterAB	ZeratulPurificationNovaTargettedCasterAB
ZeratulPurificationNovaTargettedSourceRB	ZeratulPurificationNovaTargettedSourceRB
ZeratulReflectionShieldApplyBehavior	ZeratulReflectionShieldApplyBehavior
ZeratulReflectionShieldApplyBehaviorMarker	ZeratulReflectionShieldApplyBehaviorMarker
ZeratulReflectionShieldCP	ZeratulReflectionShieldCP
ZeratulReflectionShieldMU	ZeratulReflectionShieldMU
ZeratulReflectionShieldReflectSet	ZeratulReflectionShieldReflectSet
ZeratulReflectionShieldSearch	ZeratulReflectionShieldSearch
ZeratulReviveSet	ZeratulReviveSet
ZeratulReviveWarpIn	ZeratulReviveWarpIn
ZeratulShadowCannonKnockBack5	ZeratulShadowCannonKnockBack5
ZeratulShadowCannonKnockBack5CUSpawnEffectSet	ZeratulShadowCannonKnockBack5CUSpawnEffectSet
ZeratulShadowCannonKnockBack5LM	ZeratulShadowCannonKnockBack5LM
ZeratulShadowCleaveDamage	ZeratulShadowCleaveDamage
ZeratulShadowCleaveSearch	ZeratulShadowCleaveSearch
ZeratulShadowPhaseAB	ZeratulShadowPhaseAB
ZeratulStalkerBlinkGhost	ZeratulStalkerBlinkGhost
ZeratulStalkerGhostDamage	ZeratulStalkerGhostDamage
ZeratulStalkerGhostDelayAB	ZeratulStalkerGhostDelayAB
ZeratulStalkerGhostLM	ZeratulStalkerGhostLM
ZeratulSuppressionCrystalDummyWeapon	ZeratulSuppressionCrystalDummyWeapon
ZeratulSuppressionCrystalSuppression	ZeratulSuppressionCrystalSuppression
ZeratulSuppressionCrystalSuppressionAuraSearch	ZeratulSuppressionCrystalSuppressionAuraSearch
ZeratulSuppressionCrystalSuppressionAuraSearchImpact	ZeratulSuppressionCrystalSuppressionAuraSearchImpact
ZeratulSuppressionCrystalSuppressionBuildingMU	ZeratulSuppressionCrystalSuppressionBuildingMU
ZeratulSuppressionCrystalSuppressionBuildingSet	ZeratulSuppressionCrystalSuppressionBuildingSet
ZeratulSuppressionCrystalSuppressionHeroic	ZeratulSuppressionCrystalSuppressionHeroic
ZeratulTopBarWarpInRallyExpire	ZeratulTopBarWarpInRallyExpire
ZeratulTradeTarget	ZeratulTradeTarget
ZeratulTransportVoidSeekerIssueOrderMove	ZeratulTransportVoidSeekerIssueOrderMove
ZeratulTransportVoidSeekerSetFacing	ZeratulTransportVoidSeekerSetFacing
ZeratulVoidPrisonSearch	ZeratulVoidPrisonSearch
ZeratulWarpPrismAutoUnload	ZeratulWarpPrismAutoUnload
ZeratulWarpPrismPhasingRegenAuraRegenTick	ZeratulWarpPrismPhasingRegenAuraRegenTick
ZeratulWarpPrismPhasingRegenAuraTarget	ZeratulWarpPrismPhasingRegenAuraTarget
ZeratulWarpPrismUnloadDamageCooldown	ZeratulWarpPrismUnloadDamageCooldown
ZeratulXelNagaConstructDevolveHeroicAB	ZeratulXelNagaConstructDevolveHeroicAB
ZeratulXelNagaConstructDevolveTargetImpact	ZeratulXelNagaConstructDevolveTargetImpact
ZeratulXelnagaChargedCrystalCyanPersist	ZeratulXelnagaChargedCrystalCyanPersist
Shredding Claws Target AB	Shredding Claws Target AB
Zergling Respawn Train Order Raptor	Zergling Respawn Train Order Raptor
Zergling Respawn Train Order Switch	Zergling Respawn Train Order Switch
Target is already under control.	Il bersaglio è già sotto controllo.
Can't use Advanced Construction on target unit	Impossibile usare Costruzione avanzata sull'unità
That unit is already affected	L'unità è già sotto l'effetto
Can't target bosses	Impossibile puntare sui boss
Caster Energy is full.	Energia dell'unità al massimo
Already has maximum Biomass	Biomassa già al massimo
Can't do that while empty	Impossibile farlo quando la stiva è vuota
Must target unburrowed Infested	Devi puntare su unità infestate non rintanate
Must target Supplicant	Devi puntare su un Supplice
Must target Infested Civilian or Infested Marine.	Devi puntare su un Civile infestato o un Marine infestato.
Maximum number of active MULES reached.	Numero massimo di MULE attivi raggiunto.
Must target a biological unit or structure	Devi puntare su un'unità o una struttura biologica
No Supplicant In Range	Nessun Supplice a portata
Target is already infested.	Il bersaglio è già infestato
Cannot Target Lock more targets	Impossibile agganciare altri bersagli
Can't repair this unit	Impossibile riparare questa unità
Can't target, Harvester present	Impossibile puntare, Estrattore presente
Kerrigan	Kerrigan
Kinetic SILiberator Follow Target	Kinetic SILiberator Follow Target
Kinetic SILiberator Swarm Form Permanent Follow Target	Kinetic SILiberator Swarm Form Permanent Follow Target
Placeholder	Placeholder
Rifts to the void are appearing around Korhal, unleashing monstrous Hybrid.  Destroy the rifts before you are overwhelmed!	Attorno a Korhal sono apparsi dei varchi verso il Vuoto, da cui fuoriescono mostruosi Ibridi. Distruggi i varchi prima di venire sopraffatto!
Your enemy is transporting critical items on trains.  Your only chance is to intercept those trains before it's too late.  The trains can travel on multiple tracks; you'll need to work with your ally to cover all possible routes.	Il nemico sta trasportando oggetti strategici sui treni. La tua unica possibilità è intercettarli prima che sia troppo tardi. I treni possono coprire diversi tracciati: collabora con il tuo alleato per coprire tutte le strade possibili.
ACMap	Mappa CA
Scythe of Amon	Falce di Amon
Mist Opportunities	Opportunità sfumate
Void Thrashing	Vuoto abominevole
Cradle of Death	Culla mortale
Malwarfare	Guerra informatica
Miner Evacuation	Evacuazione dei minatori
Void Launch	Lancio del Vuoto
Rifts to Korhal	Varchi per Korhal
The Sky is Falling	La caduta del cielo
Dead of Night	Notte oscura
Part and Parcel	Rottami pericolosi
Temple of the Past	Tempio del passato
Chain of Ascension	Catena dell'Ascensione
Oblivion Express	Oblio Express
Lock & Load	Congegni contesi
The Vermillion Problem	Questione scottante
COOP_Placeholder	COOP_Placeholder
COOP_Valerian03	COOP_Valerian03
COOP_ZChar02	COOP_ZChar02
<d ref="$BehaviorStackCount:MutatorCandy$"/>	<d ref="$BehaviorStackCount:MutatorCandy$"/>
Escort the Evacuation Ship to its destination.	Scortate la nave da evacuazione a destinazione.
Void Slivers are draining energies from the Temple and empowering the hybrid. They must be destroyed.	Le Schegge del Vuoto stanno sottraendo le energie del tempio per alimentare l'Ibrido. Vanno distrutte.
The Voidshade Hybrid must not awaken. Eliminate the Void Slivers before the timer runs out.	L'Ibrido del Vuoto non deve risvegliarsi. Eliminate le Schegge prima dello scadere del tempo.
Destroy the Extraction Device in order to free the captive Bel'shir Glider.	Distruggete il dispositivo di estrazione per liberare il miliobatide di Bel'Shir.
The Harvesting Bots must be protected as they gather terrazine and as they return to Stetmann's facility.	I droidi estrattori vanno protetti durante la raccolta di terrazine e mentre fanno ritorno al complesso di Stetmann.
Stetmann has only a few Harvesting Bots on hand. If too many are destroyed, he won't be able to collect any more terrazine.	Stetmann non ha molti droidi estrattori. Se troppi di essi vengono distrutti, non sarà più in grado di raccogliere terrazine.
The Archangel can transform into an air unit as well as repair itself. Only a concentrated attack can destroy it before it escapes.	L'Archangel può trasformarsi in unità aerea e riparare i danni. Solo un attacco concentrato può distruggerlo prima che fugga.
Void Thrashers are coming from the void. You must kill them all before they destroy Sgt. Hammer's Fortress.	Gli Abomini del Vuoto si stanno materializzando. Vanno eliminati prima che distruggano la fortezza di Sgt. Hammer.
Sgt. Hammer's Fortress is besieged by Void Thrashers. Kill the Void Thrashers before it is too late.	La fortezza di Sgt. Hammer è assediata dagli Abomini del Vuoto. Vanno eliminati prima che sia troppo tardi.
A Moebius Research Outpost is transmitting weapons data. Defeat their Construct and bring an Artifact Truck to the outpost to destroy it.	Gli avamposti di ricerca della Moebius stanno trasmettendo dati sulle armi. Sconfiggete il costrutto e portate un cingolato all'avamposto per distruggerlo.
Help Stone destroy all sections of the battle station before it comes online.	Aiutate Stone a distruggere tutti i settori della stazione spaziale prima che diventi operativa.
Clear the Constructs blocking the Artifact Trucks' deploy location. Both players must escort their Trucks to the target site.	Eliminate i costrutti che bloccano la destinazione dei cingolati di trasporto. Entrambi i giocatori devono scortare il proprio cingolato all'obiettivo.
Download the Purifier AIs from uncorrupted Data Cores to save them.	Scaricate le IA dei Purificatori dai nuclei dati non corrotti per salvarle.
Defend Aurana's Transport as she purifies the Security Terminals.	Difendete il Trasporto di Aurana mentre ripristina i terminali di sicurezza.
Aurana is currently piloting the Purifier Transport. Do not let it be destroyed.	Aurana sta pilotando un trasporto dei Purificatori. Impedite che venga distrutto.
Umojan mining technology is highly advanced. Recover it so that Reigel can adapt it for combat usage.	La tecnologia di estrazione umojana è molto avanzata. Recuperala, e Reigel potrà adattarla allo scontro.
Destroy the infestation blocking the mine entrance.	Distruggi l'infestazione bloccando l'entrata delle miniere.
Blightbringer has killed many of the colony's miners. Exact vengeance if you can.	Il Portapiaga ha ucciso diversi minatori della colonia. Se potete, vendicate la loro morte.
Umojan scientists were conducting research on this planet. Reigel could use their findings to develop new technology.	Degli scienziati umojani stavano svolgendo delle ricerche su questo pianeta. Le loro scoperte potrebbero essere utili a Reigel.
The Eradicators are malfunctioning and attacking everything in sight. They could be dangerous if they are not destroyed.	Gli Annientatori hanno smesso di funzionare correttamente e attaccano qualsiasi bersaglio a portata. Potrebbero diventare pericolosi se non vengono distrutti.
The ships will attract the infested's attention as they spin up their engines. They must be protected until they take off.	L'accensione dei motori delle navi attira l'attenzione degli infestati. Devono essere protette fino al decollo.
If too many ships are destroyed, the colony's miners won't be able to evacuate.	Se troppe navi vengono distrutte, i minatori della colonia non potranno fuggire.
Escort the science vessels and protect them until they are done with their research.	Scorta le Navi scientifiche e proteggile fino al termine della ricerca.
