Amorphous Armorcloud	Armure de brume
Raynor Commander Armor Vanadium	Raynor - Commandant - Armure - Vanadium
Raynor Commander Ghost Upgrades	Raynor - Commandant - Fantôme - Améliorations
Raynor Commander Hyperion Advanced Targeting Systems	Commandant Raynor - Hypérion - Système de ciblage avancé
Raynor Commander Hyperion Yamato Cooldown	Commandant Raynor - Hypérion - Yamato - Temps de recharge
Raynor Commander Hyperion Yamato Duration	Commandant Raynor - Hypérion - Yamato - Durée
Raynor Commander Hyperion Yamato Radius	Commandant Raynor - Hypérion - Yamato - Rayon
Raynor Commander Merc Cooldown	Commandant Raynor - Mercenaires - Temps de recharge
Raynor Commander Merc Veterancy	Commandant Raynor - Mercenaires - Ancienneté
Raynor Commander Spectres	Commandant Raynor - Spectres
Raynor Commander Stim Upgrade	Commandant Raynor - Amélioration des Stimulants
Raynor Commander Terran Infantry Weapon Range	Commandant Raynor- Infanterie terrane - Arme - Portée
Raynor Commander Terran Weapon Attack Speed	Raynor - Commandant - Terran - Arme - Vitesse d’attaque
Raynor Firebat Medic Range	Raynor - Flammeur - Médic - Portée
Raynor Talented Terran Infantry Armor Level 1	Raynor - Avec talent - Terran - Infanterie - Armure - Niveau 1
Raynor Talented Terran Infantry Armor Level 2	Raynor - Avec talent - Terran - Infanterie - Armure - Niveau 2
Raynor Talented Terran Infantry Armor Level 3	Raynor - Avec talent - Terran - Infanterie - Armure - Niveau 3
Raynor Talented Terran Vehicle And Ship Plating Level 1	Raynor - Avec talent - Terran - Véhicules - Blindage - Niveau 1
Raynor Talented Terran Vehicle And Ship Plating Level 2	Raynor - Avec talent - Terran - Véhicules - Blindage - Niveau 2
Raynor Talented Terran Vehicle And Ship Plating Level 3	Raynor - Avec talent - Terran - Véhicules - Blindage - Niveau 3
Raynor Unlock Battlecruiser	Raynor - Débloquer Cuirassé
Clusterbomb Range	Portée de Bombe à fragmentation
Infestation Level 1	Contamination - Niv. 1
Infestation Level 2	Contamination - Niv. 2
Infestation Level 3	Contamination - Niv. 3
SIBarracks Train Infested Marine Level2	SI - Caserne - Formation de marine contaminé - Niv. 2
SIBarracks Train Infested Marine Level3	SI - Caserne - Formation de marine contaminé - Niv. 3
SIBarracks Train Infested Marine Level4	SI - Caserne - Formation de marine contaminé - Niv. 4
Calcified Armor	Armure calcifiée
Saturated Cultures	Cultures saturées
SI Improved Marine Spawning	SI - Génération de marine améliorée
SI Infest Structure Upgraded	SI - Contamination de bâtiment améliorée
SIInfestedBunkerUpgraded	SI - Bunker contaminé amélioré
SIInfestedStim	SI - Stimulants contaminés
Liberator Aoe Attack	Croiseur - Attaque à zone d’effet
Liberator Infested Bees Invulnerable	Croiseur - Micro-organismes contaminés - Invulnérable
Siege Tank Ammo Capacity	Char de siège - Munitions - Capacité
Siege Tank Tentacle While Sieged	Char de siège - Tentacule en mode Siège
SOAMap Wide Chrono	LdA - Poussée temporelle sur toute la carte
SOAMap Wide Chrono Upgrade	LdA -Poussée temporelle - Amélioration - Ensemble de la carte
SOAPassive Orbital Strike	LdA - Frappe orbitale passive
SOAPurifier Beam Upgrade	LdA - Frappe orbitale passive
SOARecall on Death	LdA - Rappel à la mort
SOAStrafe Attack Upgrade	LdA - Mitraillage - Amélioration
SOASuper Shield Upgrade	LdA - Super bouclier - Amélioration
SOATime Freeze Upgrade	LdA - Temps figé - Amélioration
Research Additional Nano	Rechercher Nano additionnel
Scourge Life Bonus	Fléau - Bonus de points de vie
Research Shield Repair (Double)	Rechercher double réparation de bouclier
Shadow Guard Detection Suppression	La Garde de l’ombre - Suppression de détection
Shadow Guard Spawn Count	La Garde de l’ombre - Compte de génération
Siege Tank Splash Radius	Rayon d’effet du char de siège
Spectre - Reduced Nuke Calldown	Spectre - Envoi Bombe nucléaire réduit
Research Anti-Graviton Burst	Rechercher Décharge anti-gravité
Stim Damage Upgrade	Amélioration des dégâts des Stimulants
Stukov	Stukov
Relentless	Ténacité
Superior Command	Commande supérieure
Swann	Swann
Swann Commander Bonus Upgrades	Swann - Commandant - Amélioration bonus
Swann Commander Immortality Cheap Rebuild	Swann - Commandant - Immortalité - Économique - Reconstruire
Swann Commander Immortality Protocol	Swann - Commandant - Protocole Immortalité
Swann Commander Immortality Rebuild Time	Swann - Commandant - Immortalité - Temps de reconstruction
Swann Commander Kel-Morian Worker Devastation Turret	Swann - Commandant - Ouvrier kel-morian - Tourelle Dévastation
Swann Commander Laser Drill Area Attack	Swann - Commandant - Foreuse laser - Zone d’attaque
Swann Commander Laser Drill Energy	Swann - Commandant - Foreuse laser - Énergie
Swann Commander Starting Orbital Command	Swann - Commandant - Station orbitale de départ
Swann Commander Starting Refinery	Swann - Commandant - Raffinerie de départ
Swann Commander Vehicle Attack Speed	Swann - Commandant - Véhicule - Vitesse d’attaque
Swann Commander Vehicle Health	Swann - Commandant - Véhicule - Points de vie
Swann Commander Worker Cloak	Swann - Commandant - Ouvrier - Camouflage
Swann Commander Worker Free Repairs	Swann - Commandant - Ouvrier - Réparations gratuites
Swann Goliath Cost Reduction	Swann - Goliath - Réduction du coût
Swann Hellion Build Time	Swann - Tourmenteur - Temps de construction
Swann Improved Special Delivery	Swann - Livraison spéciale améliorée
Swann Turret Upgrades	Swann - Tourelle - Améliorations
Swann Planetary Fortress Upgrade	Swann - Forteresse planétaire - Amélioration
Swann Special Delivery	Swann - Livraison spéciale
Swann Unlock Thor	Swann - Débloquer Thor
Terran Building Armor Copy	Armure bâtiment terran - Copie
Terran Infantry Armor Level 4	Armures infanterie terrane - Niv. 4
Terran Infantry Weapons Level 4	Armes infanterie terrane - Niv. 4
Terran Vehicle And Ship Plating Level 4	Blindage véhicule et vaisseau terran - Niv. 4
Terran Vehicle And Ship Weapons Level 4	Armes véhicule et vaisseau terran - Niv. 4
Thor Self Repair	Autoréparation du Thor
Toxic Nest Damage Debuff	Nid toxique - Dégâts - Affaiblissement
Toxic Nest attack gives Mark for Collection Passive	L’attaque du nid toxique inflige l’affaiblissement Marqué pour récolte.
TychusACOwned	Tychus - Possédé
Commander - Terran - Tychus	Commandant - Terran - Tychus
Miles "Blaze" Lewis from Joeyray's Bar	Miles « Kramer » Lewis au Joeyray
Vega from Joeyray's Bar	Véga au Joeyray
Rob "Cannonball" Boswell from Joeyray's Bar	Rob « la Bombarde » Boswell au Joeyray
Tychus Hero Capped	Tychus - Héros - Limite max
Tychus Hero Count	Tychus - Nombre de héros
Tychus Hero Maxed	Tychus - Héros - Max
TychusHeroPassive	Tychus - Héros - Passif
Kev "Rattlesnake" West from Joeyray's Bar	Kev « Fer-de-Lance » Lewis au Joeyray
Lt. Layna Nikara from Joeyray's Bar	Lt Layna Nikara au Joeyray
Outlaw Life and Armor Level 5	Points de vie et armure des hors-la-loi - Niv. 5
Outlaw Weapons Level 5	Armes des hors-la-loi - Niv. 5
Crooked Sam from Joeyray's Bar	Sam le Timbré au Joeyray
Nux from Joeyray's Bar	Nux au Joeyray
ITC-E Triggers	Gâchettes ITC-E
Flashforce GDM Visor	Visière MDS Hypervision
Endurance Supplements	Compléments énergétiques
James "Sirius" Sykes from Joeyray's Bar	James « Sirius » Sykes au Joeyray
Unlock Omnisteel Bunker	Débloquer Bunker en OmniAcier
Unlock Fire Suppression System	Débloquer Auto-extinction des incendies
Unlock Firebat	Débloquer Flammeur
Unlock Goliath	Débloquer Goliath
Unlock Hellion	Débloquer Tourmenteur
Unlock Medic	Débloquer Médic
Unlock Perdition Turret	Débloquer Tourelle Perdition
Unlock Reaper	Débloquer Faucheur
Unlock Siege Tank	Débloquer Char de siège
Unlock Tech Reactor	Débloquer Réacteur technique
Afterburners	Post-combustion
Mind Blast	Éruption mentale
Double Graviton Beam	Double rayon à gravitons
Void Pylon Recall	Pylône du Vide : rappel
Vorazun Cloak Damage Boost	Vorazun - Camouflage - Bonus de dégâts
Vorazun Cloak Shield Regen	Vorazun - Camouflage - Régénération de bouclier
Vorazun Dark Templar Recall	Vorazun - Rappel de templier noir
Vorazun Dark Templar Recall Passive Button Display Upgrade	Vorazun - Rappel de templier noir - Passif - Bouton - Afficher amélioration
Improved Black Hole	Trou noir amélioré
Vorazun Unlock Centurion	Vorazun - Débloquer Centurion
Vorazun Unlock Dark Archon	Vorazun - Débloquer Archonte noir
War Pig - Reduction	Phacochères - Réduction
WidowMakerStrongerMines	Mines veuves surpuissantes
Widow Mine Attack Upgrade	Mine veuve - Attaque - Amélioration
Damage Range Upgrade	Amélioration de la portée des dégâts
Widow Mine Damage Upgrade	Mine veuve - Amélioration des dégâts
Widow Mine Range Upgrade	Mine veuve - Amélioration de la portée
Worship Alarak	Vénération d’Alarak
Zagara Bile Launchers	Zagara - Lanceurs de bile
Zagara Burrow Disabler	Zagara - Enfouir - Désactiveur
Commander - Zerg - Zagara	Commandant - Zerg - Zagara
Zagara Commander Brutal	Commandant Zagara - Brutal
Zagara Commander Casual	Commandant Zagara - Occasionnel
Zagara Commander Extreme	Commandant Zagara - Extrême
Zagara Commander Hard	Commandant Zagara - Difficile
Zagara Commander Normal	Commandant Zagara - Normal
Zagara Commander Unlikely	Commandant Zagara - Invraisemblable
Zagara Scourge Count	Zagara - Fléau - Nombre
Zagara Scourge Morph Time	Zagara - Fléau - Temps de transformation
Zagara Void Coop Aberration Baneling Incubation	Zagara - Void - Coop - Aberration - Incubation de chancre
Medusa Blades	Lames méduses
Zagara Void Coop Improved Abilities	Zagara - Void - Coop - Capacités améliorées
Zagara Void Coop Improved Mass Frenzy	Zagara - Void - Coop - Frénésie de masse
Zagara Void Coop Improved Infested Drop	Zagara - Void - Coop - Largage contaminé amélioré
Zagara Void Coop Reduced Unit Cost	Zagara - Void - Coop - Coût des unités réduit
Protoss Armor Level 3	Armures protoss - Niv. 3
ZeratulArtifactTier1Forge	Zeratul - Artéfact - Palier 1 - Forge
ZeratulArtifactUpgradeTier1A	Zeratul - Amélioration d’artéfact - Palier 1A
ZeratulArtifactUpgradeTier2A	Zeratul - Amélioration d’artéfact - Palier 2A
ZeratulArtifactUpgradeTier2B	Zeratul - Amélioration d’artéfact - Palier 2B
ZeratulArtifactUpgradeTier2C	Zeratul - Amélioration d’artéfact - Palier 2C
ZeratulArtifactUpgradeTier3A	Zeratul - Artéfact - Amélioration - Palier 3A
ZeratulBetter Zealot Squad	Zeratul - Meilleures escouades de zélotes
ZeratulPhaseCannonWarp	Zeratul - Canon phasique - Téléportation
ZeratulReaverHangarBuildTime	Zeratul - Ravageur - Hangar - Temps de construction
Zeratul Support Mechanics Upgrade	Zeratul - Mécanismes de soutien - Amélioration
Zeratul Talent Quick Build	Zeratul - Talent - Construction rapide
Zeratul Talent Ultimate Purity	Zeratul - Talent ultime - Pureté
ZeratulThirdArtifactUpgrade	ZeratulThirdArtifactUpgrade
Protoss Weapons Level 3	Armes protoss - Niv. 3
Zerg Flyer Attacks Level 2	Attaques Zergs volants - Niv. 2
Infantry Armor	Armures infanterie
Ground Carapace Level 1	Carapace terrestre - Niv. 1
Ground Carapace Level 2	Carapace terrestre - Niv. 2
Ground Carapace Level 3	Carapace terrestre - Niv. 3
Infantry Weapons	Armes infanterie
Melee Attacks Level 1	Attaques de mêlée - Niv. 1
Melee Attacks Level 2	Attaques de mêlée - Niv. 2
Melee Attacks Level 3	Attaques de mêlée - Niv. 3
Base	De base
Infantry	Infanterie
Vehicles	Véhicules
Starships	Vaisseaux
Dominion	Dominion
Probes can warp in Photon Cannons to deal with most minor threats. The Spear of Adun's Orbital Strike can also help when your enemies are overwhelming you.	Les sondes peuvent transférer des canons à photons pour éliminer la plupart des menaces mineures. La Frappe orbitale de la Lance d’Adun peut également s’avérer utile si l’ennemi vous submerge.
Defending As Artanis	Défendre avec Artanis
Cloaked enemies can be detected warping in Observers from the Robotics Facility, or by warping in Photon Cannons with a Probe.	Vous pouvez détecter les ennemis camouflés en transférant des observateurs avec le complexe robotique, ou des canons à photons avec une sonde.
Detecting Cloaked Enemies	Détection des ennemis camouflés
The Gateway can construct a well-rounded army.  With the Warp Gate upgrade from the Cybernetics Core and the Spear of Adun's Pylon Power, Artanis can immediately reinforce his attacks.  <n/><n/>Look to the Robotics Facility and Stargate for more powerful, but more specialized forces.	Le portail permet d’assembler une armée polyvalente. Grâce à l’amélioration Porte de transfert et à l’énergie de pylône de la Lance d’Adun, Artanis peut immédiatement renforcer sa puissance de frappe.<n/><n/>Le complexe robotique vous permettra d’obtenir des troupes plus puissantes, mais plus spécialisées.
Attacking As Artanis	Attaquer avec Artanis
Artanis can shield all allied units on the map, absorbing a large amount of damage.  These shields only last for a short time, so be sure to act quickly!	Artanis peut donner à toutes les unités alliées sur la carte un bouclier qui absorbe une immense quantité de dégâts. Mais il ne dure que brièvement, alors agissez vite !
Ally Ability: Shield Overcharge	Capacité d’allié : Surcharge de bouclier
The Spear of Adun panel at the top of the screen allows you to call down powerful abilities to impact the battlefield.  Orbital Strike and Shield Overcharge cost energy, so make sure to pick your battles carefully.	Le panneau de la Lance d’Adun situé en haut de l’écran vous permet de lancer de puissantes capacités pour peser sur le cours de la bataille. Frappe orbitale et Surcharge de bouclier coûtent de l’énergie, donc attention à bien choisir vos affrontements.
Spear of Adun	Lance d’Adun
Kerrigan will sometimes activate an Assimilation Aura, reducing enemies into refined resources for both players.  Make sure to have your forces pick up any minerals and gas you see on the battlefield!	Kerrigan peut parfois activer Aura d’assimilation, qui décompose les ennemis en ressources utilisables par les deux alliés. Assurez-vous bien d’envoyer vos troupes ramasser tout le minerai et le gaz sur le champ de bataille !
Ally Ability: Assimilation Aura	Capacité d’allié : Aura d’assimilation
Kerrigan can unleash a mighty crushing field, stunning all enemies in a large area.  It is best to use this at a time where you and your ally can do the most damage.	Kerrigan peut générer un puissant champ d’énergie qui étourdit les ennemis dans une large zone. Il vaut mieux l’utiliser au moment où vous et votre allié pourrez infliger le maximum de dégâts.
Crushing Field	Champ de pression
Drones can be morphed into Spine Crawlers to defend against ground enemies and Spore Crawlers to defend against air attackers.  Be wary, you may need the support of your army to hold off larger attacks.	Les drones peuvent se transformer en aiguillons rampants pour vous défendre contre les cibles terrestres, et en sporuleurs rampants contre les ennemis aériens. Attention, il faudra peut-être les appuyer avec des troupes pour repousser les assauts plus violents.
Defending As Kerrigan	Défendre avec Kerrigan
Cloaked enemies can be detected by morphing Overlords into Overseers, or by morphing Drones into Spore Crawlers.	Vous pouvez détecter les ennemis camouflés en transformant des dominants en surveillants, ou des drones en sporuleurs rampants.
Kerrigan's swarm deals a lot of damage, but is fragile.  It is advisable to make sure Kerrigan herself is leading the charge.	Les créatures de Kerrigan infligent d’importants dégâts, mais sont fragiles. Il vaut mieux qu’elle prenne elle-même la tête de l’assaut.
Attacking As Kerrigan	Attaquer avec Kerrigan
Raynor can frequently call in strike forces of Banshees at your request.  Look to use these when you're engaging enemy forces!	Raynor peut fréquemment demander une frappe de Banshee. Faites-en bon usage quand vous combattez les troupes ennemies !
Ally Ability: Banshee Air Strike	Capacité d’allié : Frappe aérienne de Banshee
Raynor's primary defense is training up a lot of troops from the Barracks.  You can add additional protection for them by constructing bunkers in key locations.	Le principal moyen de défense de Raynor est de former de nombreuses unités à la caserne. Vous pouvez leur apporter une protection supplémentaire en construisant des bunkers aux endroits clés.
Defending As Raynor	Défendre avec Raynor
Raynor can detect cloaked enemies by training Ravens from the Starport, or constructing Missile Turrets with an SCV.<n/><n/>The Command Center can be upgraded to an Orbital Command, giving access to the Scanner Sweep ability.  This is great at detecting cloaked enemies in an emergency.	Raynor peut détecter les ennemis camouflés en formant des Corbeaux au spatioport, ou en construisant des tourelles lance-missiles avec un VCS.<n/><n/>Le Centre de commandement peut être amélioré en station orbitale, qui ouvre accès à la capacité Senseurs, parfaite quand les ennemis camouflés doivent être détectés de toute urgence.
Raynor can call in the Behemoth-class battlecruiser Hyperion.  The Hyperion deals heavy damage, is very tough, and can use powerful abilities.  However, it can only stay in the battle for a short period of time before recharging, so use it wisely!	Raynor peut faire donner son cuirassé de classe Béhémoth, l’Hypérion. Il inflige d’importants dégâts, est très résistant, et dispose de puissantes capacités. Mais attention, il ne peut rester en combat qu’un court instant avant de devoir aller se recharger, alors utilisez-le à bon escient !
Marines and Marauders from the Barracks make for a flexible and mobile attacking force.  Medivacs from the Starport can heal them, making them much tougher in combat.	Les marines et maraudeurs formés à la caserne constituent une troupe d’assaut flexible et mobile. Les Médivacs du spatioport peuvent les soigner, ce qui améliore fortement leur survie en combat.
